experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,best_epoch,epochs_run,best_val_loss,final_train_loss,prediction_log_lower,prediction_log_upper
sandia_to_matr,naive_cross,sandia,matr,numpy_1d_cnn,100,456,34,8,129,2598.142159278657,126.40038372960096,-52.63095321497416,84,164,0.034755204717404044,0.15487631454263537,3.8918202981106265,8.143807976771484
sandia_to_hust,naive_cross,sandia,hust,numpy_1d_cnn,100,456,34,8,77,1936.4860045778182,79.64615665484376,-49.887329970743934,84,164,0.034755204717404044,0.15487631454263537,3.8918202981106265,8.143807976771484
sandia_to_luh,naive_cross,sandia,luh,numpy_1d_cnn,100,456,34,8,106,243.20053136762667,55.19835268456432,0.35480767280917536,84,164,0.034755204717404044,0.15487631454263537,3.8918202981106265,8.143807976771484
luh_to_matr,naive_cross,luh,matr,numpy_1d_cnn,100,456,74,16,129,831.7809983959721,75.53081909243568,-5.090432535958788,163,243,0.03789763788707885,0.031229399446404016,4.0943445622221,7.387090235656757
luh_to_hust,naive_cross,luh,hust,numpy_1d_cnn,100,456,74,16,77,243.9043354678343,16.52273717678703,-0.19993754349828574,163,243,0.03789763788707885,0.031229399446404016,4.0943445622221,7.387090235656757
luh_to_sandia,naive_cross,luh,sandia,numpy_1d_cnn,100,456,74,16,50,420.72629018262757,58.02877333050219,0.5468559287360136,163,243,0.03789763788707885,0.031229399446404016,4.0943445622221,7.387090235656757
matr_to_matr,within_split,matr,matr,numpy_1d_cnn,100,789,89,20,20,123.51337513717485,16.62197602373694,0.568057487607635,151,231,0.22824640884390032,0.15552158919274284,5.521460917862246,7.633369649679584
hust_to_hust,within_split,hust,hust,numpy_1d_cnn,100,789,53,12,12,228.83187604096375,16.128251197240715,-0.029222936665805443,2,82,0.8997763274889741,0.9864897777993898,6.720220155135295,7.6128310304073565
sandia_to_sandia,within_split,sandia,sandia,numpy_1d_cnn,100,789,34,8,8,71.43075886471115,27.76349978650221,0.9822644931633753,40,120,0.032026784788421504,0.0685923148630322,3.8918202981106265,8.123854263105914
luh_to_luh,within_split,luh,luh,numpy_1d_cnn,100,789,74,16,16,99.6214249482422,14.500986789009634,0.7444804527904729,496,576,0.03634895571250798,0.020298097378017865,4.127134385045092,7.387090235656757
matr_to_hust,naive_cross,matr,hust,numpy_1d_cnn,100,789,89,20,77,776.9525786433386,72.21008699721641,-8.907080398556296,151,231,0.22824640884390032,0.15552158919274284,5.521460917862246,7.633369649679584
matr_to_sandia,naive_cross,matr,sandia,numpy_1d_cnn,100,789,89,20,50,657.5403728489936,76.95918684406581,0.1458121904773525,151,231,0.22824640884390032,0.15552158919274284,5.521460917862246,7.633369649679584
matr_to_luh,naive_cross,matr,luh,numpy_1d_cnn,100,789,89,20,106,251.46850777942524,51.03962640274212,0.30477038074760054,151,231,0.22824640884390032,0.15552158919274284,5.521460917862246,7.633369649679584
hust_to_matr,naive_cross,hust,matr,numpy_1d_cnn,100,789,53,12,129,690.936964662348,67.88610913670755,-3.2044786870833883,2,82,0.8997763274889741,0.9864897777993898,6.720220155135295,7.6128310304073565
hust_to_sandia,naive_cross,hust,sandia,numpy_1d_cnn,100,789,53,12,50,927.4028609565007,114.61033858475469,0.1221175772652876,2,82,0.8997763274889741,0.9864897777993898,6.720220155135295,7.6128310304073565
hust_to_luh,naive_cross,hust,luh,numpy_1d_cnn,100,789,53,12,106,575.611344704242,85.18375950069766,-1.3645327303057315,2,82,0.8997763274889741,0.9864897777993898,6.720220155135295,7.6128310304073565
sandia_to_matr,naive_cross,sandia,matr,numpy_1d_cnn,100,789,34,8,129,2491.2106404671845,124.38730804206773,-48.61036355628144,40,120,0.032026784788421504,0.0685923148630322,3.8918202981106265,8.123854263105914
sandia_to_hust,naive_cross,sandia,hust,numpy_1d_cnn,100,789,34,8,77,1796.2261580036418,75.91433749890439,-43.34109540025825,40,120,0.032026784788421504,0.0685923148630322,3.8918202981106265,8.123854263105914
sandia_to_luh,naive_cross,sandia,luh,numpy_1d_cnn,100,789,34,8,106,250.86714289059162,44.78799232802758,0.1942649996205028,40,120,0.032026784788421504,0.0685923148630322,3.8918202981106265,8.123854263105914
luh_to_matr,naive_cross,luh,matr,numpy_1d_cnn,100,789,74,16,129,246.76163465213017,33.133968765158926,-0.03279033677667309,496,576,0.03634895571250798,0.020298097378017865,4.127134385045092,7.387090235656757
luh_to_hust,naive_cross,luh,hust,numpy_1d_cnn,100,789,74,16,77,760.7766236242106,74.28060276135828,-9.96623642764009,496,576,0.03634895571250798,0.020298097378017865,4.127134385045092,7.387090235656757
luh_to_sandia,naive_cross,luh,sandia,numpy_1d_cnn,100,789,74,16,50,569.3491223737893,60.06262497050876,0.045007368053598173,496,576,0.03634895571250798,0.020298097378017865,4.127134385045092,7.387090235656757
matr_to_matr,within_split,matr,matr,numpy_1d_cnn,100,1011,89,20,20,209.37938990134813,28.44485846983438,0.3883149412763357,23,103,0.21772070017584907,0.40055241506139877,5.5093883366279774,7.633369649679584
hust_to_hust,within_split,hust,hust,numpy_1d_cnn,100,1011,53,12,12,246.61314085700437,17.391880358859567,-0.1002641313182715,6,86,0.8023755344075065,1.0159907559239674,6.836259277277067,7.6128310304073565
