experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
matr_to_hust,naive_cross,matr,hust,pytorch_1d_cnn,100,789,89,20,77,367.3851211518964,25.148854036794035,-1.4462668857965593,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,16,0.01,125,185,0.5617831349372864,0.21695782244205475
matr_to_luh,naive_cross,matr,luh,pytorch_1d_cnn,100,1011,89,20,106,299.844871505055,60.79154298334652,0.22311943590629213,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,32,0.01,67,127,0.19552399218082428,0.3154819905757904
matr_to_luh,naive_cross,matr,luh,pytorch_1d_cnn,100,123,89,20,106,218.86276544218143,44.615724403802886,0.44406906557299275,6.538547992706299,0.4620335102081299,4.8903489112854,7.633369445800781,32,0.003,210,270,0.42837968468666077,0.1724379062652588
matr_to_luh,naive_cross,matr,luh,pytorch_1d_cnn,100,42,89,20,106,1248.687467346367,110.76062371983588,-10.357994876599848,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,8,0.01,384,400,0.35167813301086426,0.20261040329933167
matr_to_luh,naive_cross,matr,luh,pytorch_1d_cnn,100,456,89,20,106,298.60917566818637,60.40742867791518,0.14810749322620342,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,16,0.01,358,400,0.16238541901111603,0.11677830666303635
matr_to_luh,naive_cross,matr,luh,pytorch_1d_cnn,100,789,89,20,106,258.3000543572873,54.48854588615396,0.3878365618304197,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,16,0.01,125,185,0.5617831349372864,0.21695782244205475
matr_to_sandia,naive_cross,matr,sandia,pytorch_1d_cnn,100,1011,89,20,50,769.6281336938893,96.26476717140122,0.018886995465266287,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,32,0.01,67,127,0.19552399218082428,0.3154819905757904
matr_to_sandia,naive_cross,matr,sandia,pytorch_1d_cnn,100,123,89,20,50,640.1914176946171,83.70409272002426,0.17110248317946963,6.538547992706299,0.4620335102081299,4.8903489112854,7.633369445800781,32,0.003,210,270,0.42837968468666077,0.1724379062652588
matr_to_sandia,naive_cross,matr,sandia,pytorch_1d_cnn,100,42,89,20,50,1254.7052564500245,116.5901455032359,-0.7133628184284935,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,8,0.01,384,400,0.35167813301086426,0.20261040329933167
matr_to_sandia,naive_cross,matr,sandia,pytorch_1d_cnn,100,456,89,20,50,767.0014434519854,95.62855561219328,-0.08473644826282656,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,16,0.01,358,400,0.16238541901111603,0.11677830666303635
matr_to_sandia,naive_cross,matr,sandia,pytorch_1d_cnn,100,789,89,20,50,571.5201705635013,84.27087218821858,0.6159274456123227,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,16,0.01,125,185,0.5617831349372864,0.21695782244205475
sandia_to_hust,naive_cross,sandia,hust,pytorch_1d_cnn,100,1011,34,8,77,1798.4066783493624,76.11250166052561,-43.21857799742161,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,16,0.01,37,97,0.02475014328956604,0.058785147964954376
sandia_to_hust,naive_cross,sandia,hust,pytorch_1d_cnn,100,123,34,8,77,1389.6001560851498,63.37858467599514,-27.88230896149733,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,16,0.01,130,190,0.056916601955890656,0.06204124167561531
sandia_to_hust,naive_cross,sandia,hust,pytorch_1d_cnn,100,42,34,8,77,1574.8258556971928,69.48554172755324,-34.25463969720268,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,69,129,0.0653170719742775,0.05496533587574959
sandia_to_hust,naive_cross,sandia,hust,pytorch_1d_cnn,100,456,34,8,77,1938.6616466103621,79.7200190695372,-49.97237136961632,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,108,168,0.02951173298060894,0.07834501564502716
sandia_to_hust,naive_cross,sandia,hust,pytorch_1d_cnn,100,789,34,8,77,1422.739993116669,64.63736431221032,-28.751804555792017,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,8,0.01,53,113,0.09760253876447678,0.0679091066122055
sandia_to_luh,naive_cross,sandia,luh,pytorch_1d_cnn,100,1011,34,8,106,199.62335489331213,36.78829315953273,0.481273959073091,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,16,0.01,37,97,0.02475014328956604,0.058785147964954376
sandia_to_luh,naive_cross,sandia,luh,pytorch_1d_cnn,100,123,34,8,106,305.59719932344336,58.25481595169164,-0.12716160778915575,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,16,0.01,130,190,0.056916601955890656,0.06204124167561531
sandia_to_luh,naive_cross,sandia,luh,pytorch_1d_cnn,100,42,34,8,106,179.58167928774006,34.55394510983135,0.6323191210287602,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,69,129,0.0653170719742775,0.05496533587574959
sandia_to_luh,naive_cross,sandia,luh,pytorch_1d_cnn,100,456,34,8,106,247.36654269810793,52.13407174269366,0.2816519657309573,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,108,168,0.02951173298060894,0.07834501564502716
sandia_to_luh,naive_cross,sandia,luh,pytorch_1d_cnn,100,789,34,8,106,210.86267959432433,39.741188784138345,0.4489689356532045,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,8,0.01,53,113,0.09760253876447678,0.0679091066122055
sandia_to_matr,naive_cross,sandia,matr,pytorch_1d_cnn,100,1011,34,8,129,2597.064795302229,126.64154236175082,-52.19651392994884,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,16,0.01,37,97,0.02475014328956604,0.058785147964954376
sandia_to_matr,naive_cross,sandia,matr,pytorch_1d_cnn,100,123,34,8,129,2379.107663534278,122.12268469090559,-44.50367409882577,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,16,0.01,130,190,0.056916601955890656,0.06204124167561531
sandia_to_matr,naive_cross,sandia,matr,pytorch_1d_cnn,100,42,34,8,129,2548.1317937635035,125.80786298509443,-50.65674396064353,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,69,129,0.0653170719742775,0.05496533587574959
sandia_to_matr,naive_cross,sandia,matr,pytorch_1d_cnn,100,456,34,8,129,2590.4952294281466,126.73168532145351,-52.203194527372645,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,108,168,0.02951173298060894,0.07834501564502716
sandia_to_matr,naive_cross,sandia,matr,pytorch_1d_cnn,100,789,34,8,129,2258.0373873218937,120.30168241072512,-39.467584806418714,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,8,0.01,53,113,0.09760253876447678,0.0679091066122055
