dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
luh,matr_to_luh,gaussian_process,100,374.53932178914977,3.2311414696859675,332.83161724194053,416.72543437367887,68.90313346294695,0.27323091991910214,59.36982068350714,78.68579532805272,-0.13491867246056605,0.014953797108622777,-0.3711799014183019,-0.028338013310920323,5
luh,matr_to_luh,stacking,100,332.7961732067212,27.41149883408967,290.3981387603893,377.347778148489,64.88372061872403,3.07661776579977,56.23578579299483,73.47785936425332,0.012035210928607199,0.07190134649983262,-0.12941471973461188,0.08289673086052783,5
matr,hust_to_matr,elastic_net,50,9415070.404852275,7461107.286280895,1157.357192534982,23591651.492231257,88.24832851167422,15.207076951456857,82.10028090722767,94.35977887807402,-71422385705.2889,58190632235.85979,-187874328613.24234,-14.764385158505315,5
matr,hust_to_matr,pls,50,8320525.979760379,4961789.561732299,1269.8287046070193,23026248.426321726,90.67302221576628,12.890112280651339,84.30558518389576,96.97527744308688,-60359355090.45305,37636516403.108376,-188650068108.27493,-26.37090700719737,5
matr,hust_to_matr,random_forest,50,769.9214934113307,24.25374844924902,719.4978922241683,818.0842539278276,72.1697246277903,1.3709595599362103,66.2836102600011,77.96992403182719,-4.203353063335589,0.2939572568353395,-6.805480883574096,-2.762587825760394,5
matr,hust_to_matr,xgboost,50,781.422405106892,41.52482221366513,730.2200114216176,829.7879688162396,72.7417844879034,2.2093002115761697,66.90262124905038,78.50431364180665,-4.360295187769362,0.5283708578713392,-7.036710719103992,-2.8779688087876716,5
matr,hust_to_matr,catboost,50,805.6113382594633,31.5579694623813,753.1060824263129,855.1747867992506,74.05101849467769,1.6339854244613843,68.12962787960635,79.85924848962426,-4.679045515030326,0.4239894736301842,-7.49817825460102,-3.108517203270022,5
matr,hust_to_matr,gaussian_process,50,720.4103761974599,8.844168177971522,671.3800817116008,767.2798997398468,69.40766194118896,0.4979985602816117,63.564043609148335,75.23533884490567,-3.6008392909471,0.10864760241278425,-5.884041122467731,-2.335942370564187,5
matr,hust_to_matr,stacking,50,756.2543914851437,40.38748494813151,705.7136768682651,803.7457362387656,71.37350467122477,2.179378784478939,65.45331528543514,77.16448754361086,-4.04769779150251,0.5183531802492446,-6.546910665750178,-2.655219798231763,5
matr,hust_to_matr,elastic_net,100,7615541.776279253,6938877.6917136125,1034.90477791267,19743492.212842215,83.10361203698807,12.598499711162795,76.1859115423261,89.96900070744316,-57449249162.65476,53342173541.40444,-154514894133.69418,-13.205427023341219,5
matr,hust_to_matr,pls,100,7097449.058572806,5130178.58296354,839.4481721148195,19709968.187932294,76.88043946446831,7.352970545690363,70.12370448344589,83.8002381852531,-50876956046.78639,41365806665.095726,-158932315027.1125,-6.27431851289232,5
matr,hust_to_matr,random_forest,100,794.76136559629,16.731474960279492,742.2227200619167,844.7254904614094,73.42948958993209,0.9222570545224177,67.50827169888642,79.181103148574,-4.547600526509529,0.21183209284268908,-7.322556645034373,-3.003188839056601,5
matr,hust_to_matr,xgboost,100,831.6598642275316,40.85439986529234,778.3586880067338,883.6354056495844,75.3037420281957,2.137138797732805,69.345076782765,81.1381439203926,-5.05807717859081,0.5475137778878263,-8.143107688627257,-3.3572000648638474,5
matr,hust_to_matr,catboost,100,808.1891657255576,23.689846851200993,754.0804585721255,859.7712142071771,74.10779008848495,1.2578711919732721,68.0781455202353,80.04740627685479,-4.75042653619153,0.31913868786241323,-7.647775874196405,-3.1394996123992205,5
matr,hust_to_matr,gaussian_process,100,720.37878848485,8.788510585465232,671.324116516372,767.2915854982756,69.40594467121188,0.4950332780105372,63.5635453407625,75.23612952214106,-3.6004175160986294,0.10786709378923859,-5.884462895425313,-2.335969280750116,5
matr,hust_to_matr,stacking,100,776.4496001107683,13.777104886529346,724.968243867818,825.0271600795753,72.55741417308543,0.7394099470661457,66.69455023017363,78.25605464123505,-4.2795003370140225,0.18266921381498835,-6.922092054758894,-2.82479606855262,5
sandia,hust_to_sandia,elastic_net,50,214210.3351177574,416310.649824413,1839.7815299049903,778956.051575434,117.68510404432907,22.962005377092208,104.87741482207669,129.7343985895845,-7911471.878474824,15819773.378795676,-32861957.87992233,-14.555751716611619,5
sandia,hust_to_sandia,pls,50,8096011.617485734,15981496.142785868,26536.728418969036,20220211.691940658,128.29488848259774,36.139041003077224,114.07300203081859,141.02466027886334,-6840604383.502668,13679290637.123236,-23745810013.476818,-6231.0867568154545,5
sandia,hust_to_sandia,random_forest,50,1367.0949229688524,56.19490912189807,1283.4882390770558,1432.9804505648385,130.47421980806226,1.1929082687963306,117.41709962316745,141.892382571376,-0.6631963589270274,0.13581331081899983,-2.260253831220847,-0.17436571318340027,5
sandia,hust_to_sandia,xgboost,50,1380.9199848632811,121.06926783156703,1289.819711730957,1454.570919470215,130.56165873555497,2.635046889612557,117.3771434933839,141.9268710089082,-0.7177744667491444,0.298918327697915,-2.3988350976646693,-0.2062427245329979,5
sandia,hust_to_sandia,catboost,50,1271.8108417210453,97.07551175385498,1191.4535150738643,1343.6820622253367,127.86215511786665,2.88437631301788,115.71568460111101,138.61709806573037,-0.45609325377271137,0.20598280531098923,-1.7433613147930853,-0.0737264223161947,5
sandia,hust_to_sandia,gaussian_process,50,1260.4545050742768,6.188902975233157,1185.607257868302,1333.022036065881,128.56091736899762,0.13617917448198014,117.13070876296392,138.6344028748308,-0.41924359667439826,0.012443775410549546,-1.6069210773918947,-0.08799374452287906,5
sandia,hust_to_sandia,stacking,50,1322.1186783558674,77.25863514996622,1242.0647654436455,1389.1687060151166,129.63250074478452,1.8936524878202985,117.31249871881639,140.3671105155974,-0.5608999778357819,0.1773356054047454,-1.9762214629288266,-0.14472885496306853,5
sandia,hust_to_sandia,elastic_net,100,4593236.523860431,7791064.13427657,2831.637017439177,14262059.722713616,137.6683003190882,28.472408171034182,121.7498707975761,152.7496132879302,-3487746098.9359426,6807187318.249837,-14613763756.125916,-660.7720468267953,5
sandia,hust_to_sandia,pls,100,9679518.866980601,12147722.829585066,24346.42033984134,28072232.53229611,115.28142180111641,36.743013666326526,99.84112064613865,129.90718578940312,-7340862943.648343,9025518184.69909,-29390994123.533466,-131455.12467807563,5
sandia,hust_to_sandia,random_forest,100,1228.5421384428696,25.993633659520995,1141.3991552585696,1309.6838488424005,126.32348548101497,0.9619001093005144,114.15237498879506,137.31485932484503,-0.37375508523438083,0.05171263747346374,-1.6198851214292342,0.006955624919181104,5
sandia,hust_to_sandia,xgboost,100,1193.096285888672,66.4708469541696,1108.019440637207,1268.9664427490234,124.7295884091719,2.5622629534155363,112.13568451020724,135.78996155509327,-0.29593836368602766,0.12979461675763293,-1.4753788985247285,0.07352561728061123,5
sandia,hust_to_sandia,catboost,100,1263.0495158190886,116.37306457492434,1183.061331474892,1332.1331902599836,127.3047564518381,3.6296124631921436,114.65091288871761,138.3107728487098,-0.43678851802889973,0.2565474777878514,-1.7497016608467277,-0.04326888134822078,5
sandia,hust_to_sandia,gaussian_process,100,1260.611543638946,6.120893554471409,1185.6978157029225,1333.175726455659,128.57013852652557,0.13238270042412603,117.14456377494503,138.64102081233258,-0.41973093731386407,0.012239024256216586,-1.6071400999338459,-0.08825342722498011,5
sandia,hust_to_sandia,stacking,100,1207.8164580766795,39.75791316378285,1125.0060734247247,1285.4365579478406,125.82857588380925,1.3634801524687739,113.82556009830341,136.5753622567921,-0.3242525619187334,0.07990458988647918,-1.4901182601232361,0.027997308591261826,5
luh,hust_to_luh,elastic_net,50,508.33673995807385,259.08577805920316,459.66237687265755,557.9799648967531,75.930285312099,15.467528851546282,66.52374691483666,85.59785485933791,-1.441533163505481,2.4904144457225126,-2.34293972683687,-0.9241577484626957,5
luh,hust_to_luh,pls,50,72446.02898145573,143728.495638423,27968.18822628341,135507.14057046268,101.72583925961044,39.186826638895205,93.23752305618692,110.5902686937914,-2500434.164625141,5000864.3978497265,-5795082.249209596,-182751.70008115607,5
luh,hust_to_luh,random_forest,50,885.1373765462189,86.66297830267037,810.4416471736946,958.9180834160546,99.29089565095072,3.8603659217873845,89.048910696997,109.7373795379015,-4.735401110907792,1.0166885725191843,-7.080730901163362,-3.3470841388102435,5
luh,hust_to_luh,xgboost,50,912.8551957040463,197.74964751176225,839.4076814615503,984.7599209162875,99.88112251140504,9.321075848047272,89.81054590693705,110.1181917516399,-5.197179501966195,2.2515936729553574,-7.7151714229677255,-3.6979692068997023,5
luh,hust_to_luh,catboost,50,893.1273393947702,106.56243741120485,819.8894655945842,965.7150398331739,99.70723034004929,4.706549272642785,89.64582186401202,110.02501008629663,-4.81401229441824,1.2605359453480827,-7.245912910854797,-3.410280568177913,5
luh,hust_to_luh,gaussian_process,50,910.2523749403961,9.604647637738674,837.6255531660896,982.9135448209232,100.74347270611699,0.42462850585648776,90.67824550749435,111.04249667867484,-4.941056459685087,0.11299240008861673,-7.376146896850386,-3.5015769889262645,5
luh,hust_to_luh,stacking,50,980.9574309612759,79.3021357498032,907.005763035793,1053.6064081417023,103.76251362746214,3.38416909305286,93.88976240038406,113.77445347725242,-5.801456911348782,0.9649066418996323,-8.547749496713076,-4.1717314130360545,5
luh,hust_to_luh,elastic_net,100,633.38146636495,162.83626420632928,561.5833744234892,703.6642716533347,144.6604412753615,44.174051916473026,138.72007321792142,150.56863042530338,-2.452179431595808,1.4092928516373868,-3.5549377351730675,-1.7678774683826126,5
luh,hust_to_luh,pls,100,352.7538064344207,157.68162638813766,304.1422309226855,400.66115439469326,104.97522795150546,66.9638248068388,99.43464730880845,111.00713219753773,-0.3730093795318615,1.0371219798428477,-0.7115474178593159,-0.1403059251897915,5
luh,hust_to_luh,random_forest,100,805.5280132174051,54.498518247446555,728.5271939564782,880.3277952271803,95.25837703316775,2.7639540861692655,84.67108593093313,105.74465491277344,-3.948889278921672,0.560584967861507,-6.036030924952759,-2.6775734319740336,5
luh,hust_to_luh,xgboost,100,806.496276049344,136.07790448311437,733.3242068395076,877.9838987415242,94.85858214543744,7.221866268707522,84.40627800770085,105.32114169154211,-4.010463135105832,1.34208250763305,-6.109008198932337,-2.767913254266324,5
luh,hust_to_luh,catboost,100,822.9789020095898,121.08721460596435,749.16852822867,892.7815231179544,96.14786560135823,5.7751882854117,85.69808332915864,106.59034772994951,-4.088447962988633,1.3343263595263248,-6.178044142036372,-2.8474097899386206,5
luh,hust_to_luh,gaussian_process,100,910.2523749404205,9.604647637716983,837.625553166114,982.9135448209481,100.74347270611861,0.4246285058550251,90.67824550749701,111.04249667867559,-4.941056459685158,0.11299240008855241,-7.376146896850436,-3.5015769889263106,5
luh,hust_to_luh,stacking,100,807.890693286641,76.71690138297468,732.5267884030047,881.3384594117,95.34304676315904,4.0091386362233985,84.77795110315057,105.77015688776366,-3.9484166546464956,0.7780319437662941,-6.023092150325433,-2.7058562235291843,5
matr,sandia_to_matr,elastic_net,50,1028.6101197718583,200.3712497356138,734.7104227962283,1442.8821602279877,154.73327032735446,6.941930385397433,144.19270112539726,165.08230709859976,-49.3335175387724,39.79714626523161,-129.77350356602489,-6.232893654403648,5
matr,sandia_to_matr,pls,50,1646.0003069040733,1256.5511169839222,1148.4084102132206,2289.422338023222,116.74786853323194,18.837409592824926,106.7034444171647,127.62056109447158,-167.47049058158848,228.12639282148066,-374.8083378737479,-47.84096109460799,5
matr,sandia_to_matr,random_forest,50,1685.6904819223296,407.8333857244638,1614.4850902664737,1752.2778132801645,105.11960540558448,13.097241897954547,99.65667263821743,110.28768556912003,-23.337445338407086,9.692438733761904,-35.000553582331825,-16.67093528182851,5
matr,sandia_to_matr,xgboost,50,2141.8189407466916,103.50812820161327,2064.4963474261854,2212.3829980415517,117.53232400566462,2.377310101913731,112.26856894643379,122.535571770302,-35.70229338263273,3.3074619394926836,-53.619898159451544,-25.764697017706983,5
matr,sandia_to_matr,catboost,50,563.5365356093381,194.04991087387674,507.67109401746677,619.5483638108059,56.21773724964022,13.437709579437284,50.92172770453968,61.714058471287274,-2.5487531986694947,1.861275327377745,-4.208399208131427,-1.5920060242908662,5
matr,sandia_to_matr,gaussian_process,50,410.4450723638103,15.747501082288213,353.8392936793899,471.58322782153016,58.61154151172102,5.908570205242879,52.945256610340195,64.48120208016616,-1.2266712957836878,0.13218642042719855,-1.7563147751180814,-0.8861449617974527,5
matr,sandia_to_matr,stacking,50,2122.425323274776,215.0415228024254,2038.2193280559663,2202.198072376266,116.75430405163482,4.616544758421043,111.55431017728333,121.74525582766935,-35.78439479605474,7.20982297390179,-54.004799491371315,-25.812914235451693,5
matr,sandia_to_matr,elastic_net,100,1916.9755410289217,885.2381823277759,1483.0772549771407,2510.397294335761,98.76715941961429,12.002477713209947,91.0664376569067,106.30350752167651,-119.84523212873026,88.67836144131122,-301.79796629955456,-34.3688530263094,5
matr,sandia_to_matr,pls,100,5309.675328764882,6309.046975464477,3930.798046274581,7191.999282468717,116.61680184662143,28.00436209891742,110.3350713259019,122.68892682061376,-3089.3031750714763,6046.009991365512,-8397.638351733245,-600.1573109010293,5
matr,sandia_to_matr,random_forest,100,1449.098717813546,178.54488453331246,1375.7217772087893,1519.3113213456866,99.07647772107926,5.480276867625793,93.3862979716995,104.60929698167192,-16.728981462268898,4.2751468483190145,-25.573558605425443,-11.663169380110617,5
matr,sandia_to_matr,xgboost,100,1225.3363627825597,413.1115020850767,1136.9961599885216,1312.3349262131092,87.85838126238251,13.756019548473853,81.513098806393,93.85598347050305,-13.782156552120261,9.68831337608143,-21.25237988834413,-9.42522158688729,5
matr,sandia_to_matr,catboost,100,646.3305768575186,117.75647926593689,573.627438947259,722.7937296173889,59.70631305867531,5.8694185891866475,53.65494325370232,66.0758504928147,-3.781162706685204,1.8064531193011828,-6.216761209423315,-2.3216702955152457,5
matr,sandia_to_matr,gaussian_process,100,361.40654526226274,32.64654074246519,309.1790451093096,417.8028189013248,50.154764715754496,7.217394128678284,44.89115779426041,55.75777971499431,-0.7987769292227526,0.3032297095355357,-1.1390460992751799,-0.5544380107452967,5
matr,sandia_to_matr,stacking,100,1560.6375252911953,391.365730790465,1477.2815275627077,1640.1405428830035,101.16626259211208,10.278024783682428,95.53502262949245,106.69678786542173,-20.53145587852633,11.260551026710688,-31.073543920214632,-14.471307555643843,5
hust,sandia_to_hust,elastic_net,50,4189.132557387502,1588.6909766836543,2374.8585816358027,6734.370047192887,141.3548469861127,7.155780574384953,127.25399605312177,155.00126687938138,-1981.7558638131413,1726.9989161165727,-5640.767366665801,-199.50779976328263,5
hust,sandia_to_hust,pls,50,3387.6584968144443,1847.1718042212678,2277.508581977464,4854.227779103082,121.5124264433171,22.14676666132263,109.06201269862206,133.75805157744142,-1080.2544769054768,1380.7641058799743,-2844.1263942600317,-173.30057180449774,5
hust,sandia_to_hust,random_forest,50,1043.7023164074458,432.275784619134,975.632026424001,1111.979693854388,50.868762527084144,17.93111093540202,46.94874573154973,54.842269235280604,-17.272775502390157,10.242789215113497,-23.662509118760344,-13.320152527914853,5
hust,sandia_to_hust,xgboost,50,1327.9962043663124,110.27588941422728,1234.7418035541882,1418.8344667380195,62.366065891581854,3.7236509934213102,57.92689923610315,66.78973547508656,-24.875038582782075,4.063066177537125,-34.579328481606545,-18.90651850906908,5
hust,sandia_to_hust,catboost,50,622.932515062665,191.02616601917998,559.2266541084535,686.9378845563301,54.00437566049161,20.397447623033575,49.0609278469086,58.82075620402111,-5.799021907365587,3.1378649073972342,-8.43221712053604,-4.145740588553835,5
hust,sandia_to_hust,gaussian_process,50,954.7596533566687,149.15614868427937,841.845927142673,1064.0878675702397,81.3790562013323,6.050405131837109,71.72511291438103,90.47043495628611,-14.72683986711678,4.653231631405855,-21.664154301961542,-10.459296462682953,5
hust,sandia_to_hust,stacking,50,1580.1909951156933,615.5727812948618,1473.5592493477961,1680.193148803129,67.23429023639206,15.792917101324223,62.76199548276113,71.61774853333831,-40.36532212555747,32.71794813448653,-55.31960783880188,-31.121008669384764,5
hust,sandia_to_hust,elastic_net,100,671.9527041195022,348.55664621313895,573.8362311205512,782.3700358143499,49.21575146282315,39.97407312942008,44.0107579041571,54.65053313982404,-9.808573543869022,7.808594710949261,-16.479754240062256,-5.896791877940985,5
hust,sandia_to_hust,pls,100,1572.9286771391512,1903.705936450739,1226.0861047169724,1957.3160692828696,46.3264768535186,24.538340350665642,40.38565392416528,52.38362878082843,-201.13143363942854,387.1601565429865,-395.2182505144765,-91.92929305652078,5
hust,sandia_to_hust,random_forest,100,938.2163702648179,202.17405676344575,865.9419943749293,1014.8539772217694,48.37220524389676,7.773672136263259,44.12071212620462,52.82389141840696,-12.805585942070817,5.159085620258631,-17.781637500028328,-9.805225493414598,5
hust,sandia_to_hust,xgboost,100,1022.3591401731813,265.9097374895086,887.832097207602,1161.6393303878585,49.052553949271015,10.369308026602257,42.91592978586317,55.58097403030496,-19.10966265881525,7.355124366012572,-26.82134489338292,-14.008115701490246,5
hust,sandia_to_hust,catboost,100,342.1329346098876,56.34769961016569,287.4835075435313,396.79941461157546,25.00594896732492,4.949793664505814,21.14975609419077,28.936225859476764,-1.4310443723630741,0.6855155331056894,-2.45669010271107,-0.7555453263782799,5
hust,sandia_to_hust,gaussian_process,100,783.1144734145307,144.57915674127833,698.5298572527897,864.526400337905,73.05903664952059,17.95390353591314,65.34047489400874,80.37629782502802,-9.253549296117617,2.8997064056372257,-13.515273871706345,-6.724650883555361,5
