dataset,cell_id,status,q0,retirement_cycle,retirement_throughput,available_future_throughput,soh_t0,recent_slope,early_slope,slope_change,curvature,history_mad,max_drop,linearity_r2,slope_ratio,history_range,future_temp,future_charge_rate,future_discharge_rate,future_soc_min,future_soc_max,chemistry,future_protocol,duty_stratum,local_noise,future_soh,target_g,target_horizon,target_instability,baseline_score,model_score
luh,luh_P035_2_S09_C04,eligible_primary,2.9383203265745816,405.0,368.06084212643043,56.26305868835027,0.8142298778110637,-0.0010186335417463502,-0.00032269240131736646,-0.0006959411404289837,-1.2555529183821311e-05,0.014805373333862337,0.005502406248576341,0.9424612233063143,-3.1566703696395035,0.06964068509087651,10.0,1.0,1.0,,,NMC,T10_C1_D1_Snan-nan,T10_C1_D1_Snan-nan,3.292033312618514e-16,0.7599658366037887,0.0010852808241455002,50.0,3.642091273394634e-06,0.0020312880532073335,0.0012977937739720876
luh,luh_P035_3_S10_C02,eligible_primary,2.9375773132652347,363.0,330.7158919023069,68.94263684754549,0.8144350602197402,-0.0010599263923259186,-0.00036430977951325706,-0.0006956166128126615,-1.4363656145012199e-05,0.009683009523624997,0.012299567387225707,0.8416101913110341,-2.909409661585405,0.07279407108480507,10.0,1.0,1.0,,,NMC,T10_C1_D1_Snan-nan,T10_C1_D1_Snan-nan,1.646016656309257e-16,0.6866055027671624,0.002556591149051557,50.0,4.4280409079495264e-05,0.001583525247013241,0.0017105003215859972
luh,luh_P037_1_S05_C11,eligible_primary,2.9448083019996583,1032.0,916.2556719488663,400.7935664460566,0.8149809983602277,-0.00014036963907064704,-0.0001453065620322712,4.936922961624156e-06,8.89881378445305e-08,0.0037279137350235136,0.0007689798041508045,0.9999170173944063,-0.9660240880206931,0.01424829798430216,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.809418685255594,0.00011124626209267463,50.0,5.049078659374087e-06,8.990920792548481e-05,0.00013753601476025574
luh,luh_P037_3_S10_C04,eligible_primary,2.9551444457232536,1085.0,964.2241620605416,358.12227211590516,0.8149362644227889,-0.00011436821398034679,-0.00014662790801198123,3.225969403163444e-05,5.827886274829883e-07,0.0034962010718666003,0.0007753569259993931,0.9961859254962087,-0.7799893999101559,0.01322061741246705,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8080515398750215,0.0001376944909553468,50.0,8.469334156028632e-06,7.077489416286395e-05,0.00012379947607661456
luh,luh_P038_1_S06_C07,eligible_primary,2.940746554303381,980.0,873.6869856068697,558.9564891714315,0.8148557774863644,-0.00017934724921398918,-0.0001806607793713515,1.3135301573623118e-06,2.140133652312449e-08,0.0047420261994630675,0.0009563417636642146,0.9999959155493546,-0.9927293009477042,0.018012626402927112,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,3.292033312618514e-16,0.8059109406924602,0.00017889673587808463,50.0,2.663308830512258e-06,0.00012381638657602652,0.00016975884285031916
luh,luh_P038_2_S07_C07,eligible_primary,2.9300479162001247,1090.0,971.3924051244604,585.6113536706642,0.8149054733334409,-0.00015991933204318186,-0.00016137476443000732,1.45543238682546e-06,2.410278659610492e-08,0.004224486737584687,0.0008528457236672837,0.9999944726914871,-0.9909810409826704,0.01606235246144816,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,4.938049968927771e-16,0.806907167803334,0.0001599661106021366,50.0,9.139082692951594e-07,0.00013162589544663878,0.00014964647125857226
luh,luh_P038_3_S10_C03,eligible_primary,2.9357227551867218,940.0,837.3437602043167,535.874382150506,0.8148990871091378,-0.00017802106525588912,-0.0001778465178848129,-1.745473710762285e-07,2.112923848867126e-09,0.004675598245844126,0.0009734437988283551,0.9999940871245279,-1.0009814494720064,0.017802430059965513,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8061469811601262,0.00017504211898023315,50.0,2.036511834611745e-06,0.00015151052202679738,0.0001797702930697754
luh,luh_P039_1_S05_C10,eligible_primary,2.947773924664422,643.0,583.3978381140831,130.69362321512813,0.8139064748218914,-0.0004964838806345726,-0.00046795606219894077,-2.85278184356318e-05,-5.940154511085019e-07,0.0124788552791667,0.003954709652570609,0.9994305355173864,-1.0609626004235924,0.048889738970890884,10.0,1.0,1.0,,,NMC,T10_C1_D1_Snan-nan,T10_C1_D1_Snan-nan,8.230083281546285e-17,0.7430459043009163,0.0014172114104195012,50.0,2.2507865182197003e-05,0.0009762611287615557,0.0009209394980991596
luh,luh_P039_2_S06_C05,eligible_primary,2.953916052544245,671.0,608.4099982873161,141.81511723209485,0.8143708209015449,-0.0006124640697371572,-0.00031923260119512403,-0.00029323146854203316,-6.016739904767205e-06,0.008476504771226412,0.0056975982228043565,0.941079134183208,-1.918551136206799,0.04690234449777386,10.0,1.0,1.0,,,NMC,T10_C1_D1_Snan-nan,T10_C1_D1_Snan-nan,1.646016656309257e-16,0.7581034416294187,0.0011253475854425244,50.0,1.7237651883257133e-05,0.001524085923372946,0.0013316198247815439
luh,luh_P039_3_S07_C05,eligible_primary,2.9432361917236096,641.0,580.0683168994633,82.05928010456626,0.8144780545522511,-0.00046617210501561675,-0.0004013775394827155,-6.479456553290123e-05,-1.4280876487256089e-06,0.010683069268698553,0.007441648310098414,0.9926211823533913,-1.1614304717110149,0.045907924233814845,10.0,1.0,1.0,,,NMC,T10_C1_D1_Snan-nan,T10_C1_D1_Snan-nan,1.646016656309257e-16,0.7231155508388,0.0018272500742690222,50.0,3.0264381200567054e-05,0.0010602991998035186,0.0009606446207237228
