experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
luh_to_sandia,naive_cross,luh,sandia,pytorch_mamba_library,100,1011,74,16,50,531.8765964981563,53.90878354843491,-0.030635739172378385,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,64,0.003,235,295,0.01608758233487606,0.02489672787487507
luh_to_sandia,naive_cross,luh,sandia,pytorch_mamba_library,100,123,74,16,50,376.8344527648123,49.37660860334495,0.6164061271280472,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,64,0.01,115,175,0.025660499930381775,0.0555567741394043
luh_to_sandia,naive_cross,luh,sandia,pytorch_mamba_library,100,42,74,16,50,496.48902592372394,51.439468573028826,0.17188035916704614,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,32,0.01,198,258,0.059564974159002304,0.03433038666844368
luh_to_sandia,naive_cross,luh,sandia,pytorch_mamba_library,100,456,74,16,50,570.8014240409508,62.755711769242694,-0.01485010297593492,5.982973098754883,0.9092166423797607,4.094344615936279,7.38709020614624,32,0.01,217,277,0.02131512016057968,0.03152751922607422
luh_to_sandia,naive_cross,luh,sandia,pytorch_mamba_library,100,789,74,16,50,355.7666767376075,44.094402234982596,0.5891502702988476,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,77,137,0.08293870836496353,0.059438932687044144
matr_to_hust,naive_cross,matr,hust,pytorch_mamba_library,100,1011,89,20,77,887.8079640928005,83.55237893380756,-10.543413342660362,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,32,0.003,33,93,0.24096332490444183,0.5009672045707703
matr_to_hust,naive_cross,matr,hust,pytorch_mamba_library,100,123,89,20,77,818.0217885450131,74.45517251904293,-9.012822718622699,6.538547992706299,0.4620334804058075,4.8903489112854,7.633369445800781,64,0.001,116,176,0.5516576170921326,0.3732554316520691
matr_to_hust,naive_cross,matr,hust,pytorch_mamba_library,100,42,89,20,77,681.9777423260141,63.338181090425316,-7.291306577008969,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,16,0.003,139,199,0.20391178131103516,0.17966680228710175
matr_to_hust,naive_cross,matr,hust,pytorch_mamba_library,100,456,89,20,77,823.2034575881471,74.4821796309602,-9.10119295771979,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,64,0.003,78,138,0.24946828186511993,0.1473141312599182
matr_to_hust,naive_cross,matr,hust,pytorch_mamba_library,100,789,89,20,77,619.6496686660901,54.147229573474284,-5.640052534626158,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,64,0.003,175,235,0.4730532169342041,0.1119905337691307
matr_to_luh,naive_cross,matr,luh,pytorch_mamba_library,100,1011,89,20,106,314.0415463760216,63.30339274295464,0.02402930177827023,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,64,0.001,54,114,0.2343362420797348,0.4624963104724884
matr_to_luh,naive_cross,matr,luh,pytorch_mamba_library,100,123,89,20,106,374.5828968034197,79.76654671831169,-0.544341559294508,6.538547992706299,0.4620334804058075,4.8903489112854,7.633369445800781,64,0.001,116,176,0.547082245349884,0.3752824664115906
