experiment,source,target,model,n_cycles,adapter_type,k,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,adapted_MAE,adapted_MAE_std,adapted_SMAPE,adapted_R2,adapted_R2_std,adapter_slope_mean,adapter_intercept_mean,delta_MAE,delta_R2
matr_to_sandia,matr,sandia,random_forest,100,linear,20,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,805.1420800170029,148.1668736395624,104.0354239672944,-0.12174804100358427,0.34238434689957264,3.706564628678764,-1432.8420602859799,29.85628307365448,-0.1354015790436784
matr_to_sandia,matr,sandia,xgboost,100,residual_mean,5,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,840.7415071953668,34.70687539125433,97.750753815646,-0.18230499867238553,0.11470087176830202,1.0,94.11245501708983,95.9220527275935,-0.22229353072453428
matr_to_sandia,matr,sandia,xgboost,100,residual_mean,10,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,823.1261785087585,23.581907533088494,100.64328075522023,-0.0593342855419803,0.05431130487252159,1.0,102.25948803710938,78.30672404098516,-0.09932281759412903
matr_to_sandia,matr,sandia,xgboost,100,residual_mean,15,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,832.666286642892,21.835794836867215,102.93569597090477,-0.10855677407491601,0.12834229460903157,1.0,111.08714233398439,87.84683217511872,-0.14854530612706474
matr_to_sandia,matr,sandia,xgboost,100,residual_mean,20,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,828.4115529530843,19.66692929266156,104.74916296010156,-0.03249938546036073,0.034281059836590605,1.0,113.45985989379884,83.592098485311,-0.07248791751250946
matr_to_sandia,matr,sandia,xgboost,100,linear,5,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,893.4811006334094,257.7571010514914,103.72651477666673,-1.3182118505107647,1.8521364071176347,4.944494842583467,-2215.7663859767194,148.66164616563606,-1.3582003825629134
matr_to_sandia,matr,sandia,xgboost,100,linear,10,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,779.7692005157471,177.50856506119393,101.22375464118377,-0.2815832414624867,0.5552805486634728,5.4111627551370685,-2487.985005207329,34.949746047973804,-0.32157177351463545
matr_to_sandia,matr,sandia,xgboost,100,linear,15,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,747.9586091570171,141.22355616918682,100.5422581877406,-0.018999829689928444,0.3119838715272173,5.748051891053743,-2770.9814550223637,3.13915468924381,-0.05898836174207718
matr_to_sandia,matr,sandia,xgboost,100,linear,20,744.8194544677733,80.09541692906224,96.39595022669114,0.03998853205214874,0.015584367252516025,740.6946113586425,159.61527939396893,99.71126274136171,-0.04992800306550564,0.3542132209454259,5.50546160261314,-2582.9183583773024,-4.124843109130779,-0.08991653511765438
matr_to_sandia,matr,sandia,catboost,100,residual_mean,5,714.9501520280797,66.00588406168391,93.37060928149016,0.04087617034798696,0.030867502209064934,836.344907402289,33.54059188613731,96.49660453726254,-0.17648502771514724,0.11144040163488363,1.0,138.8442609568577,121.39475537420924,-0.2173611980631342
matr_to_sandia,matr,sandia,catboost,100,residual_mean,10,714.9501520280797,66.00588406168391,93.37060928149016,0.04087617034798696,0.030867502209064934,821.201146560276,26.51072844376186,100.63828575639869,-0.05245108172168271,0.06181877833680353,1.0,149.93540924302738,106.25099453219627,-0.09332725206966967
