direction,model,confidence_level,adapter_type,coverage_no_adapter,coverage_adapted,median_width_no_adapter,median_width_adapted,median_width_reduction_pct,finite_interval_fraction_no_adapter,finite_interval_fraction_adapted,MAE_no_adapter,MAE_adapted,MAE_reduction_pct,R2_no_adapter,R2_adapted,R2_mean_no_adapter,R2_mean_adapted,winkler_no_adapter,winkler_adapted,winkler_reduction_pct,short_life_coverage_adapted,long_life_coverage_adapted,short_long_coverage_gap_adapted
SANDIA -> HUST,xgboost,0.9,residual_mean,0.9087719298245612,0.9156756756756756,3833.122118000985,2084.595907944855,45.61624065783758,1.0,1.0,1034.8221671824997,647.5968073836935,37.41950762932542,-17.557631072685503,-6.689568709580295,-20.188014067340447,-6.158801261692475,4022.916202451506,2272.5457304492043,43.50999086025335,0.9144444444444444,0.916842105263158,0.1251461988304093
SANDIA -> HUST,xgboost,0.95,linear,0.9515789473684212,0.9454054054054056,4006.1049388780607,1297.762487376228,67.60537960995909,1.0,1.0,1034.8221671824997,239.9545352367026,76.81200279174301,-17.557631072685503,-0.1480711827144599,-20.188014067340447,-0.187541934599342,4171.35180376641,1637.9525674827817,60.73329115986246,0.9466666666666668,0.9442105263157896,0.0508187134502923
SANDIA -> HUST,xgboost,0.95,residual_mean,0.9515789473684212,0.9583783783783784,4006.1049388780607,2258.06443520209,43.634416230881925,1.0,1.0,1034.8221671824997,647.5968073836935,37.41950762932542,-17.557631072685503,-6.689568709580295,-20.188014067340447,-6.158801261692475,4171.35180376641,2431.1795654034304,41.71722549969863,0.9622222222222224,0.9547368421052632,0.0645029239766081
SANDIA -> LUH,xgboost,0.9,linear,0.9132558139534884,0.9027272727272728,1871.5280240138925,1097.5187299351203,41.3570774333768,1.0,1.0,322.9864767668636,232.19497014061503,28.110002479076922,-0.3263339810377716,0.5376630053744151,-0.3291621887918339,0.4299062850219428,2260.032440888061,1387.170912303782,38.62163714080562,0.9645454545454544,0.8409090909090909,0.1309090909090909
SANDIA -> LUH,xgboost,0.9,residual_mean,0.9132558139534884,0.9048484848484848,1871.5280240138925,1314.4011880205735,29.768554295993987,1.0,1.0,322.9864767668636,298.25655380426105,7.656643463885004,-0.3263339810377716,0.2177436582070248,-0.3291621887918339,0.1537379555558825,2260.032440888061,1686.7082134085797,25.36796450825274,0.9878787878787878,0.8218181818181819,0.1684848484848484
SANDIA -> LUH,xgboost,0.95,linear,0.950813953488372,0.9492424242424242,2180.962567912408,1350.0787130698163,38.097116707413456,1.0,1.0,322.9864767668636,232.19497014061503,28.110002479076922,-0.3263339810377716,0.5376630053744151,-0.3291621887918339,0.4299062850219428,2528.92233774896,1601.994068093113,36.653093526032244,0.981818181818182,0.9166666666666669,0.0730303030303029
SANDIA -> LUH,xgboost,0.95,residual_mean,0.950813953488372,0.9551515151515152,2180.962567912408,1673.6422415973311,23.261303691272328,1.0,1.0,322.9864767668636,298.25655380426105,7.656643463885004,-0.3263339810377716,0.2177436582070248,-0.3291621887918339,0.1537379555558825,2528.92233774896,1960.821850928257,22.464133371781593,0.9987878787878788,0.9115151515151516,0.0872727272727272
SANDIA -> MATR,xgboost,0.9,linear,0.9020183486238532,0.906741573033708,3993.836154505479,1497.4866597064286,62.50505524576661,1.0,1.0,1219.3312700689253,296.8080919043975,75.65812513873938,-9.550509804611302,-0.1026981426410504,-14.231539882063869,-0.3842499492674949,4773.925227642107,2061.7584435265508,56.81209182773741,0.938181818181818,0.8759999999999999,0.0867070707070706
SANDIA -> MATR,xgboost,0.9,residual_mean,0.9020183486238532,0.9059550561797752,3993.836154505479,2065.717661390044,48.27735586850023,1.0,1.0,1219.3312700689253,380.747426101636,68.77407842742248,-9.550509804611302,-1.141847828039965,-14.231539882063869,-1.149842267821309,4773.925227642107,2643.2495727935748,44.631525489998005,0.8963636363636364,0.9153333333333332,0.0655353535353534
SANDIA -> MATR,xgboost,0.95,linear,0.9483486238532112,0.9575280898876404,4664.962133181726,2063.5830728302,55.76420528363993,1.0,1.0,1219.3312700689253,296.8080919043975,75.65812513873938,-9.550509804611302,-0.1026981426410504,-14.231539882063869,-0.3842499492674949,5239.955245246484,2578.301231661901,50.795357765682226,0.9754545454545456,0.94,0.0563030303030302
SANDIA -> MATR,xgboost,0.95,residual_mean,0.9483486238532112,0.9519101123595506,4664.962133181726,2563.4696942596156,45.04843509820288,1.0,1.0,1219.3312700689253,380.747426101636,68.77407842742248,-9.550509804611302,-1.141847828039965,-14.231539882063869,-1.149842267821309,5239.955245246484,3035.460936479414,42.07086140224031,0.9461363636363636,0.9575555555555556,0.0407626262626262
