scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Linear target-adapted CP,Linear-adapted CP,LUH -> MATR,gaussian_process,0.9,10.0,10.0,linear,0.8910091743119267,0.8256211809589326,0.9297749375496644,1.0,0.929074074074074,0.8536363636363636,0.1091414141414141,1484.133171271652,28593.16223559921,290.89762739304007,1624.763037752653,38.882348476321255,39.49267964042045,-0.0592602390939923,-83129.47979627155,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> MATR,gaussian_process,0.9,15.0,15.0,linear,0.9470707070707072,0.8878779879759705,0.9728643723043924,1.0,0.9851020408163264,0.9098,0.0794326530612244,1728.979712216241,30769.736834028103,289.65327756759825,1731.645601542712,38.64669751620478,39.47103162450588,-0.0756820335071599,-72174.06357224414,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> MATR,gaussian_process,0.9,20.0,20.0,linear,0.8997752808988764,0.8241548906685326,0.9423130311403244,1.0,0.9379545454545456,0.8624444444444443,0.1027424242424242,6866.880498497011,137201.86696663464,289.30855946058637,6792.113030811795,38.323803223456906,39.015853163673846,-0.0426147208424767,-354566.72814572044,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> MATR,gaussian_process,0.9,5.0,5.0,residual_mean,0.795546218487395,0.7218986302438755,0.85070935304841,1.0,0.8338983050847457,0.7578333333333334,0.2017203389830508,1020.6599838262902,2009.394184822038,286.376473055251,305.2690157010653,36.883160387899174,38.758224593688794,-0.0820069239480215,-0.1868544991364535,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> MATR,gaussian_process,0.9,10.0,10.0,residual_mean,0.8962385321100917,0.8318534063369731,0.9336453819874356,1.0,0.931851851851852,0.8612727272727273,0.1186936026936026,1485.5860285061517,1985.2994268568643,285.33486256420235,291.51981562502357,36.80380147053498,37.46865489523852,-0.0468777950056764,-0.1161716065923158,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> MATR,gaussian_process,0.9,15.0,15.0,residual_mean,0.9310101010101012,0.8683013607827121,0.961519617824678,1.0,0.9736734693877552,0.8892,0.0880408163265305,1668.4386823218974,2030.41875307858,281.78186289886787,287.0725719276287,36.59605085370715,37.0365251291706,-0.0285759383772783,-0.0872621614002114,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> MATR,gaussian_process,0.9,20.0,20.0,residual_mean,0.9091011235955055,0.8347358760360902,0.9496119888616188,1.0,0.9620454545454544,0.8573333333333334,0.1118737373737373,1320.971009130671,1833.9289891233047,281.71488929603424,284.2288885484251,36.45817040279624,36.64309324762776,-0.0388662699268177,-0.0760314164240605,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> MATR,gaussian_process,0.9,5.0,,none,0.826774193548387,0.7600643647614589,0.8738457982449239,1.0,0.9903225806451612,0.663225806451613,0.3270967741935484,1683.6615587155216,2843.3357896290154,389.5532093726862,388.8579136321046,56.27985608824349,56.471300797598104,-1.0720795723517489,-1.077979226292744,0.0,100
"Target-domain CP, no adapter",Target CP,LUH -> MATR,gaussian_process,0.9,10.0,,none,0.9129411764705884,0.8538175081409526,0.9462381159415868,1.0,1.0,0.8273333333333334,0.1726666666666666,2101.4368470329237,2682.9897882049395,389.8240149312836,388.7374511092104,56.29979793265879,56.46609945234666,-1.0643976058188005,-1.0761029576199157,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> MATR,gaussian_process,0.9,15.0,,none,0.93640350877193,0.8803959826470605,0.963958805521319,1.0,1.0,0.8728070175438596,0.1271929824561403,2327.656847032924,2733.3498294829533,389.8718209711554,389.9786673870856,56.547278016913566,56.60735553122227,-1.0786688242640736,-1.080760620925495,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> MATR,gaussian_process,0.9,20.0,,none,0.9057798165137616,0.8399558126450363,0.9439759170976956,1.0,1.0,0.8132727272727273,0.1867272727272727,1942.2368470327172,2581.323085557113,388.8293921608764,388.9036935710131,56.29202837534704,56.47158853387148,-1.072730808909817,-1.07230812442581,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> SANDIA,gaussian_process,0.9,5.0,5.0,linear,0.82075,0.6904871125575854,0.8948036302743552,1.0,0.885,0.7565000000000001,0.1854999999999999,42594167.833883874,83001515.82866018,937.1337376108484,4785902.428707634,123.4793510337516,114.62098724007606,-0.302611311893794,-3659350120.663361,0.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> SANDIA,gaussian_process,0.9,10.0,10.0,linear,0.8933333333333333,0.7497435327484387,0.9476259312880392,1.0,0.966,0.8206666666666667,0.1493333333333333,21591.208214480495,34041.72974889089,884.1052201588948,1839.7715649206905,115.6055489672118,112.37508993453534,-0.0916805142365114,-336.35457830773396,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> SANDIA,gaussian_process,0.9,15.0,15.0,linear,0.9345,0.7501753650440937,0.9788068726080066,1.0,0.987,0.882,0.1109999999999999,150035.8577509578,188732.42759355743,902.5468224380515,4342.669756962909,113.08172652588276,113.24822784797284,-0.0422475199020094,-5360.463915691666,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> SANDIA,gaussian_process,0.9,20.0,20.0,linear,0.915,0.6231355564506981,0.976512219663104,1.0,0.996,0.8340000000000001,0.1659999999999999,4981.767951850157,5866.777525084692,877.6797245155703,862.8801030385632,111.318400728425,111.29178435323952,-0.0933177854009169,-7.444413275279056,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> SANDIA,gaussian_process,0.9,5.0,5.0,residual_mean,0.813,0.6815777308664488,0.8895711467840498,1.0,0.868,0.758,0.2149999999999999,3519.9975642814657,6122.663999238239,866.4851248520146,896.0530304583648,111.7582612173738,102.43602796091176,-0.1322636670823764,-0.2552577326528448,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> SANDIA,gaussian_process,0.9,10.0,10.0,residual_mean,0.91,0.7659308439478045,0.9609881736495413,1.0,0.9873333333333334,0.8326666666666667,0.1546666666666666,4447.000956950667,5557.085008782089,868.4367170631929,883.7270986699249,111.79488981988897,106.86906682022251,-0.0863418372921521,-0.1815528277032095,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> SANDIA,gaussian_process,0.9,15.0,15.0,residual_mean,0.933,0.750823112925614,0.9756425002006446,1.0,0.996,0.87,0.1259999999999999,4893.854006023253,5546.808487248723,855.4293426494717,856.2837764801272,107.08149884792856,105.79512437991175,-0.054693663311834,-0.1873138198161683,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> SANDIA,gaussian_process,0.9,20.0,20.0,residual_mean,0.928,0.6377550858688646,0.9806768374485024,1.0,0.998,0.858,0.1399999999999999,4510.97381013701,5378.979837966759,823.5771662726215,814.672979116315,109.97653915252867,107.753193308913,-0.0679923966601383,-10.347295120845455,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> SANDIA,gaussian_process,0.9,5.0,,none,0.8439999999999999,0.7247826538817972,0.9091050461899756,1.0,0.9272727272727274,0.7643478260869565,0.189288537549407,3967.4999853691465,7236.014915399126,621.0342227325225,625.8679535776214,76.03076883258838,75.78676305830245,-0.1093672138974654,-0.1103408474764421,0.0,100
"Target-domain CP, no adapter",Target CP,LUH -> SANDIA,gaussian_process,0.9,10.0,,none,0.92125,0.8045782224092174,0.9641005785820684,1.0,0.9975,0.845,0.1524999999999999,5206.384318204759,6402.8698344761215,617.9383504511712,610.8928731273584,74.57787488868287,74.42881941334232,-0.109566588792576,-0.1057542051827591,1.0,100
