scenario_label,confidence_level,direction,model,coverage_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,n_runs
Residual-mean target-adapted CP,0.95,LUH -> MATR,gaussian_process,0.9552808988764044,0.994318181818182,0.9171111111111112,0.0781363636363636,0.8939630240480716,0.9789228722896148,1.0,100
Linear target-adapted CP,0.9,LUH -> SANDIA,gaussian_process,0.915,0.996,0.8340000000000001,0.1659999999999999,0.6231355564506981,0.976512219663104,1.0,100
Residual-mean target-adapted CP,0.9,LUH -> SANDIA,gaussian_process,0.928,0.998,0.858,0.1399999999999999,0.6377550858688646,0.9806768374485024,1.0,100
Linear target-adapted CP,0.95,LUH -> SANDIA,gaussian_process,0.949,1.0,0.898,0.1019999999999999,0.6621518920528789,0.9866236536702464,1.0,100
Residual-mean target-adapted CP,0.95,LUH -> SANDIA,gaussian_process,0.969,1.0,0.938,0.0619999999999999,0.6852225668377895,0.9924516668908204,1.0,100
Linear target-adapted CP,0.9,MATR -> HUST,catboost,0.8975675675675676,0.9061111111111112,0.8894736842105263,0.1024269005847952,0.7660261435582573,0.9543203095192968,1.0,100
Residual-mean target-adapted CP,0.9,MATR -> HUST,catboost,0.905945945945946,0.8911111111111112,0.92,0.1109941520467835,0.7759568912973387,0.9595702144283488,1.0,100
Linear target-adapted CP,0.95,MATR -> HUST,catboost,0.95,0.9488888888888888,0.9510526315789474,0.05906432748538,0.8348317631340025,0.9805161936125152,1.0,100
Residual-mean target-adapted CP,0.95,MATR -> HUST,catboost,0.9527027027027029,0.9372222222222222,0.9673684210526317,0.0587426900584795,0.8371682610961366,0.9830766803755856,1.0,100
Linear target-adapted CP,0.9,MATR -> LUH,catboost,0.91,0.9742424242424242,0.8457575757575758,0.1381818181818181,0.8210804999639345,0.9538174032849616,1.0,100
Residual-mean target-adapted CP,0.9,MATR -> LUH,catboost,0.9207575757575758,0.9842424242424244,0.8572727272727273,0.133030303030303,0.8338331834194618,0.9613964829967188,1.0,100
Linear target-adapted CP,0.95,MATR -> LUH,catboost,0.9540909090909092,0.9906060606060606,0.9175757575757576,0.0809090909090908,0.8785315812653012,0.97969791468331,1.0,100
Residual-mean target-adapted CP,0.95,MATR -> LUH,catboost,0.9612121212121212,0.996060606060606,0.9263636363636364,0.0745454545454545,0.8879218838330444,0.9837666666065862,1.0,100
Linear target-adapted CP,0.9,MATR -> SANDIA,catboost,0.904,0.972,0.836,0.1679999999999999,0.6111880621909108,0.9725654355198748,1.0,100
Residual-mean target-adapted CP,0.9,MATR -> SANDIA,catboost,0.914,0.998,0.83,0.1679999999999999,0.6219984444489529,0.9762043972645748,1.0,100
Linear target-adapted CP,0.95,MATR -> SANDIA,catboost,0.95,0.986,0.914,0.0999999999999999,0.6624578435357071,0.9877626365876928,1.0,100
Residual-mean target-adapted CP,0.95,MATR -> SANDIA,catboost,0.96,1.0,0.92,0.0799999999999999,0.6740363136665204,0.9906335104596216,1.0,100
Linear target-adapted CP,0.9,SANDIA -> HUST,xgboost,0.8983783783783784,0.9055555555555556,0.8915789473684211,0.1035087719298245,0.7675663967722066,0.9542491517229088,1.0,100
Residual-mean target-adapted CP,0.9,SANDIA -> HUST,xgboost,0.9156756756756756,0.9144444444444444,0.916842105263158,0.1251461988304093,0.7899918789173949,0.9631643718190284,1.0,100
Linear target-adapted CP,0.95,SANDIA -> HUST,xgboost,0.9454054054054056,0.9466666666666668,0.9442105263157896,0.0508187134502923,0.8286113228735266,0.978411759840144,1.0,100
Residual-mean target-adapted CP,0.95,SANDIA -> HUST,xgboost,0.9583783783783784,0.9622222222222224,0.9547368421052632,0.0645029239766081,0.8456080996219696,0.9849205097726816,1.0,100
Linear target-adapted CP,0.9,SANDIA -> LUH,xgboost,0.9027272727272728,0.9645454545454544,0.8409090909090909,0.1309090909090909,0.8121262319796544,0.9490262539167116,1.0,100
Residual-mean target-adapted CP,0.9,SANDIA -> LUH,xgboost,0.9048484848484848,0.9878787878787878,0.8218181818181819,0.1684848484848484,0.8149935073428438,0.9501680586146768,1.0,100
Linear target-adapted CP,0.95,SANDIA -> LUH,xgboost,0.9492424242424242,0.981818181818182,0.9166666666666669,0.0730303030303029,0.8720150483740555,0.9770508360062022,1.0,100
Residual-mean target-adapted CP,0.95,SANDIA -> LUH,xgboost,0.9551515151515152,0.9987878787878788,0.9115151515151516,0.0872727272727272,0.8797425989832043,0.9804914369959844,1.0,100
Linear target-adapted CP,0.9,SANDIA -> MATR,xgboost,0.906741573033708,0.938181818181818,0.8759999999999999,0.0867070707070706,0.8330404155869909,0.9467836082882372,1.0,100
Residual-mean target-adapted CP,0.9,SANDIA -> MATR,xgboost,0.9059550561797752,0.8963636363636364,0.9153333333333332,0.0655353535353534,0.8315397249233887,0.9467763519443462,1.0,100
Linear target-adapted CP,0.95,SANDIA -> MATR,xgboost,0.9575280898876404,0.9754545454545456,0.94,0.0563030303030302,0.8978714801488458,0.9793228362102508,1.0,100
Residual-mean target-adapted CP,0.95,SANDIA -> MATR,xgboost,0.9519101123595506,0.9461363636363636,0.9575555555555556,0.0407626262626262,0.890286700597926,0.9761365657076452,1.0,100
