pair,dataset_a,dataset_b,feature,n_cycles,n_a,n_b,mean_log_life_a,mean_log_life_b,log_life_offset_b_minus_a,life_ratio_b_over_a,slope_a,slope_b,delta_slope_b_minus_a,delta_slope_ci95_low,delta_slope_ci95_high,delta_slope_boot_p,delta_slope_fdr_bh,slope_shift_significant,shift_class
matr_vs_hust,matr,hust,slope_last_quarter,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.23122041930034493,0.022125785756685192,-0.20909463354365973,-0.5231508909544347,-0.1435867788701393,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,autocorr_lag1,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.02424317893836069,0.039637356138888025,0.015394177200527336,-0.06365793123863143,0.09518180346372263,0.76,0.957037037037037,False,slope_stable
matr_vs_hust,matr,hust,knee_cycle,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.14813949921370317,-0.0044156470507734705,0.1437238521629297,0.03462717895717929,0.2454335194227322,0.006666666666666667,0.01743589743589744,True,slope_shifted
matr_vs_hust,matr,hust,n_capacity_jumps,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.02269560517010827,0.0,-0.02269560517010827,-0.14091869514758468,0.1563135969637389,0.7466666666666667,0.957037037037037,False,slope_stable
matr_vs_hust,matr,hust,accel_mean,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.21198659766355113,-0.03319162479191666,-0.24517822245546778,-0.34769190343315143,-0.15055746110819515,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,accel_std,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.013882670719562937,0.053213279687847934,0.039330608968285,-1.1542210800548274,7.907946547559195,0.5666666666666667,0.8376811594202899,False,slope_stable
matr_vs_hust,matr,hust,accel_max_abs,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.014710481870373495,0.015394474648359286,0.0006839927779857917,-4.322763535027914,4.227188470465637,0.9266666666666666,0.9866666666666667,False,slope_stable
matr_vs_hust,matr,hust,linearity_r2,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.18393830082567186,-0.04828025620945979,0.13565804461621206,0.051388210393227135,0.22382702886724395,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,kurtosis_Qdis,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.0810409806260878,0.03665139832184687,-0.044389582304240935,-0.27018515760324435,0.06204173984204237,0.35333333333333333,0.6674074074074074,False,slope_stable
matr_vs_hust,matr,hust,fft_top3_energy_ratio,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.12562582209530537,0.020900587146931975,0.14652640924223734,0.06602719295769963,0.24254477277421918,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,spectral_entropy,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.10819713750053232,-0.024454605089521242,-0.13265174259005358,-0.218087645077352,-0.05654162745718387,0.0033222591362126247,0.011295681063122924,True,slope_shifted
