source,target,direction,model,seed,n_target,pearson_log,spearman_cycle,r2_cycle,smape_cycle,additivity_rmse_log,sum_feature_contributions,decomposition_error
sandia,luh,sandia_to_luh,catboost,1011,106,0.8995010957976246,0.8612282534209998,-0.5088986820857031,69.01683989456097,5.976788707599684e-16,0.8995010957976239,-6.661338147750939e-16
sandia,matr,sandia_to_matr,random_forest,42,129,0.29891456887364654,0.060393370315474815,-13.003611925696013,94.35388814926988,1.3067784157135985e-14,0.29891456887363677,-9.769962616701378e-15
sandia,hust,sandia_to_hust,random_forest,42,77,-0.07546511874402242,-0.10983825279072075,-8.258314239756197,41.30243258144821,1.8280028185488566e-14,-0.0754651187440668,-4.438116540939063e-14
sandia,luh,sandia_to_luh,random_forest,42,106,0.8472513635101668,0.8569773153831683,0.06510031144465755,55.97117411325423,7.45053720492154e-15,0.8472513635101754,8.548717289613705e-15
sandia,matr,sandia_to_matr,random_forest,123,129,0.20760433610469145,-0.13154194701216387,-16.878109444862943,99.10006723102208,2.455883020928311e-14,0.20760433610467266,-1.8790524691780774e-14
sandia,hust,sandia_to_hust,random_forest,123,77,-0.2134197213625934,-0.22749768322750163,-17.595116221331242,53.43537207294177,2.53536771167437e-14,-0.2134197213626459,-5.2485793489154275e-14
sandia,luh,sandia_to_luh,random_forest,123,106,0.749504395774269,0.8250681418664492,-0.11103530771562942,62.881583763649985,7.489888469051462e-15,0.7495043957742668,-2.220446049250313e-15
sandia,matr,sandia_to_matr,random_forest,456,129,0.25215057065645213,0.0076589155087747815,-17.191965999747023,100.2698885150533,9.883532659401738e-15,0.25215057065644686,-5.2735593669694936e-15
sandia,hust,sandia_to_hust,random_forest,456,77,-0.07262467898358921,-0.10108379176168532,-15.497071660150002,52.366409094271745,1.9268546203461436e-14,-0.0726246789836241,-3.4888758548845544e-14
sandia,luh,sandia_to_luh,random_forest,456,106,0.8576499246204363,0.7757137891000948,-0.05814308369723964,53.85718804851758,9.670430584454216e-15,0.8576499246204341,-2.220446049250313e-15
sandia,matr,sandia_to_matr,random_forest,789,129,0.2809067209674505,0.06961545879703283,-24.486101917652242,108.76538990163087,3.22804928554323e-15,0.2809067209674492,-1.3322676295501878e-15
sandia,hust,sandia_to_hust,random_forest,789,77,0.1615566005230789,-0.08231296541114089,-18.535738515541393,57.59584495972019,4.697618061586768e-15,0.16155660052307255,-6.356026815979021e-15
sandia,luh,sandia_to_luh,random_forest,789,106,0.7839405977195426,0.7985792019752466,-0.11333919816158855,62.30789235531559,5.283489105430964e-15,0.7839405977195378,-4.773959005888173e-15
sandia,matr,sandia_to_matr,random_forest,1011,129,0.29108820598322643,0.05948368857670694,-13.024343732311372,93.96725864557354,1.3061933346832793e-15,0.2910882059832263,-1.1102230246251565e-16
sandia,hust,sandia_to_hust,random_forest,1011,77,0.367963464837415,0.17642768338349946,-5.579937943591514,37.20685883314657,2.323593547652958e-15,0.3679634648374037,-1.1268763699945339e-14
sandia,luh,sandia_to_luh,random_forest,1011,106,0.9084900419165196,0.9093652698871086,0.6905929438810843,37.880644226345275,3.295148035036695e-15,0.9084900419165142,-5.440092820663267e-15
luh,matr,luh_to_matr,catboost,42,129,0.30198187963243095,0.14836130872207556,-0.963632565103214,51.24994343104052,7.418679622480056e-16,0.3019818796324303,-6.661338147750939e-16
luh,hust,luh_to_hust,catboost,42,77,-0.11729067744705227,-0.10223142402575948,-1.5115141391233413,26.499595286561807,1.52163004096192e-15,-0.11729067744705035,1.915134717478395e-15
luh,sandia,luh_to_sandia,catboost,42,50,0.9001829834100846,0.7473646315465812,0.4202413694992253,45.97580744025101,9.057678187205882e-16,0.9001829834100842,-4.440892098500626e-16
luh,matr,luh_to_matr,catboost,123,129,0.29606461234902703,0.07552652645073367,-1.1437972547088533,52.081883472427315,5.007227111309583e-16,0.29606461234902687,-1.6653345369377348e-16
luh,hust,luh_to_hust,catboost,123,77,-0.05833524146819684,-0.0682224572825076,-1.9365369183422554,28.449235702224374,4.1732972091367484e-16,-0.05833524146819766,-8.187894806610529e-16
luh,sandia,luh_to_sandia,catboost,123,50,0.9204842872891453,0.8195595322920249,0.35604509475549007,41.74230113633262,5.756054031998179e-16,0.9204842872891449,-4.440892098500626e-16
luh,matr,luh_to_matr,catboost,456,129,0.31590642644073963,0.16775143918925636,-0.056029510471446775,36.79206166477429,1.4010636894263692e-15,0.31590642644074046,8.326672684688674e-16
