source,target,direction,model,feature_group,contribution_mean,contribution_median,contribution_sd,sign_consistency,mean_abs_shap_log
luh,matr,luh_to_matr,random_forest,curvature_acceleration,0.009598988609916637,0.007933694590153272,0.006696879326572929,1.0,0.15200762699273257
luh,matr,luh_to_matr,random_forest,spectral_entropy,0.010527134295841383,0.00941298234672721,0.00370807389700987,1.0,0.012869407358236768
luh,matr,luh_to_matr,random_forest,trend_decay_timing,0.15040713529719266,0.1263865404366513,0.05649111502969703,1.0,0.3923870786182767
luh,matr,luh_to_matr,random_forest,variability_events,0.10636756514524828,0.12229241139460102,0.03721842526661198,1.0,0.45980418572308696
luh,sandia,luh_to_sandia,catboost,capacity_level_retention,0.3061402057734959,0.29607927405793155,0.042301060430077905,1.0,0.21295204776217896
luh,sandia,luh_to_sandia,catboost,curvature_acceleration,-0.006995541303986439,-0.005214865854993199,0.02752472624936278,0.6,0.2215581500589618
luh,sandia,luh_to_sandia,catboost,spectral_entropy,-0.004285408367466751,-0.003157863754245158,0.018872338048983573,0.6,0.09108199841634382
luh,sandia,luh_to_sandia,catboost,trend_decay_timing,0.3937776227352999,0.39510829371325945,0.04619984014723846,1.0,0.3172078549350478
luh,sandia,luh_to_sandia,catboost,variability_events,0.1981896086740143,0.18814487292149928,0.03712635338329509,1.0,0.2821317158746731
luh,sandia,luh_to_sandia,random_forest,capacity_level_retention,0.16189902008916832,0.16038223428745793,0.02919126706860154,1.0,0.15130379053972834
luh,sandia,luh_to_sandia,random_forest,curvature_acceleration,0.06856227537449971,0.07958670163959602,0.03030100139060691,1.0,0.14036997748194438
luh,sandia,luh_to_sandia,random_forest,spectral_entropy,0.003139479898633029,0.0039579355076396604,0.0027730182519999365,0.8,0.015419311015569481
luh,sandia,luh_to_sandia,random_forest,trend_decay_timing,0.31079346735780533,0.27179230669599935,0.09837390139148497,1.0,0.2823858077503329
luh,sandia,luh_to_sandia,random_forest,variability_events,0.34552459551636483,0.4058021080770212,0.11039009539688716,1.0,0.3076126984505242
matr,hust,matr_to_hust,catboost,capacity_level_retention,0.08079147186146726,0.01727427547180265,0.11895735673106345,1.0,0.08524044561230618
matr,hust,matr_to_hust,catboost,curvature_acceleration,-0.2186426299195013,-0.22659304404637912,0.07829874357762714,1.0,0.22502099036225962
matr,hust,matr_to_hust,catboost,spectral_entropy,-0.02065201189110174,-0.010330427891716933,0.02840029156326961,0.8,0.020779679529091027
matr,hust,matr_to_hust,catboost,trend_decay_timing,0.053385961855535805,0.04881537379542093,0.024222679627496857,1.0,0.11382813332581747
matr,hust,matr_to_hust,catboost,variability_events,0.005230439997139728,0.01939050349053404,0.06455477483175602,0.6,0.1367327209090878
matr,hust,matr_to_hust,random_forest,capacity_level_retention,0.05222951123351869,0.02176085623129928,0.07411553321772235,0.8,0.056769351265912205
matr,hust,matr_to_hust,random_forest,curvature_acceleration,-0.2900332463694002,-0.2875194286215945,0.09650796008459522,1.0,0.2874858361013922
matr,hust,matr_to_hust,random_forest,spectral_entropy,-0.015175162850526818,-0.010472807535410343,0.014733298652250815,0.8,0.01359456972931139
matr,hust,matr_to_hust,random_forest,trend_decay_timing,0.07646363648447393,0.08725546713063964,0.04163542659660769,1.0,0.16697672711070005
matr,hust,matr_to_hust,random_forest,variability_events,0.02623925183710103,0.03541551899599582,0.027321545461164307,0.8,0.08270236158535646
matr,luh,matr_to_luh,catboost,capacity_level_retention,0.0493697983749476,0.05703414759162294,0.026137640812514178,1.0,0.11102613186292751
matr,luh,matr_to_luh,catboost,curvature_acceleration,0.49444538974401253,0.45610853621014424,0.2057545344544285,1.0,0.2519025730477463
matr,luh,matr_to_luh,catboost,spectral_entropy,-0.014611632035858671,-0.009740522802655704,0.057215832658315084,0.6,0.017186953761397842
