source,target,direction,direction_label,pair,feature,source_slope,target_slope,delta_slope_target_minus_source,delta_slope_fdr_bh,slope_shift_significant,conditional_shift_class,log_life_offset_target_minus_source,life_ratio_target_over_source,source_shap_model,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,relative_importance_mean,relative_importance_std,rank_mean,rank_std,top5_rate,top10_rate,source_within_MAE,source_within_SMAPE,source_within_R2,n_seed_runs,abs_mean_shift_z,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,transfer_stability_score,stability_class,adapted_cross_R2_mean,relative_importance_pct,source_importance_rank_in_direction,is_top10_source_shap,is_top5_source_shap,is_slope_shifted
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,fft_top3_energy_ratio,-0.5689922070526255,0.0209005871469319,0.5898927941995575,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,7.149714510887862e-05,0.0001598724766606,5.9615069767460226e-05,0.0001333033484834,29.6,2.6076809620810595,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,1.0355785379423688,-0.5705710058493972,0.0380674461562861,0.6086384520056835,False,-0.4086492866955868,relationship_unstable,-0.1364981236885374,0.005961506976746023,30,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,poly2_c,-0.3056536943810419,-0.0368318877331578,0.2688218066478841,0.134320987654321,False,slope_stable,1.3980385319726762,4.047253617568028,xgboost,3.6734284367412326e-05,8.214035695034183e-05,2.682273334357887e-05,5.9977455098592585e-05,30.2,2.16794833886788,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,1.0507045927488856,-0.0133986457900834,0.0132894295801123,0.0266880753701958,False,-0.1709497265974307,relationship_unstable,-0.0422201077812774,0.002682273334357887,31,False,False,False
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,retention_ratio,0.9214817976330976,0.0424079828473876,-0.8790738147857099,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0,0.0,0.0,0.0,33.4,0.8944271909999163,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,3.125093159252802,0.5804298250142643,0.077567679477985,0.5028621455362793,True,0.5664230829571155,scale_shift_fragile,-8.74120256058562,0.0,32,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,mean_diff,0.9168686855803484,0.0424059838070388,-0.8744627017733094,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0,0.0,0.0,0.0,31.2,1.4832396974191326,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,3.1199789861479643,0.5727938542896848,0.0788295837704586,0.4939642705192261,True,0.565146206807213,scale_shift_fragile,-8.355192595732726,0.0,33,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,exp_decay_k,-0.9643088242238914,-0.0419333243706314,0.92237549985326,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0,0.0,0.0,0.0,29.4,2.880972058177587,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,2.724000804194441,-0.7265523733267848,-0.1216160261871407,0.6049363471396441,True,0.5595887090168132,weak_or_mixed,-1.9581284102716203,0.0,34,False,False,True
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,sandia_vs_luh,Qdis_N,0.928995122513388,0.7879275140017642,-0.1410676085116237,0.4965079365079364,False,slope_stable,0.1071034044591394,1.1130493427941877,xgboost,0.676911723613739,0.1562517160168094,0.5480194687843323,0.0916658957762661,1.0,0.0,1.0,1.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.0460535266748246,0.6273021987701738,0.925875450630646,0.2985732518604722,True,2.586778982826377,stable_candidate,0.7350684970562447,54.80194687843323,1,True,True,False
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,sandia_vs_luh,mad_Qdis,-0.9502712997168372,-0.7539096446846002,0.1963616550322369,0.4281481481481481,False,slope_stable,0.1071034044591394,1.1130493427941877,xgboost,0.1063149563036859,0.0987066749095171,0.0880884717684239,0.0810480432912343,11.0,14.0356688476182,0.6,0.6,135.73362505810186,25.361339133186764,0.925789081268821,5,0.1763896091336592,-0.7592748248780009,-0.9215476349682634,0.1622728100902625,True,2.4392392153371865,stable_candidate,0.7071981717253037,8.80884717684239,2,True,True,False
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,sandia_vs_luh,slope_linear,0.9683225399761752,0.7779789919226572,-0.1903435480535179,0.4965079365079364,False,slope_stable,0.1071034044591394,1.1130493427941877,xgboost,0.0896202161908149,0.0435044215854793,0.0730523012578487,0.0350930410257097,3.6,1.816590212458495,0.8,1.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.1754682288871196,0.7295778739890617,0.9310597606616028,0.2014818866725409,True,2.6465383138589624,stable_candidate,0.74454589688883,7.30523012578487,3,True,True,False
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,sandia_vs_luh,range_Qdis,-0.929573159791324,-0.789996568428982,0.1395765913623419,0.5492307692307692,False,slope_stable,0.1071034044591394,1.1130493427941877,xgboost,0.037761953100562,0.0335312271038744,0.0308977881679311,0.0276039455426838,11.0,9.460443964212253,0.4,0.6,135.73362505810186,25.361339133186764,0.925789081268821,5,0.2259008967704907,-0.688949722238486,-0.9238853607742537,0.2349356385357675,True,2.2646711650922517,stable_candidate,0.6752680477587663,3.08977881679311,4,True,True,False
sandia,luh,sandia_to_luh,Sandia -> Luh/KIT,sandia_vs_luh,slope_ratio,-0.1834850908723701,-0.3750090513062189,-0.1915239604338487,0.4965079365079364,False,slope_stable,0.1071034044591394,1.1130493427941877,xgboost,0.0350975697860121,0.0177934361551893,0.0296506282873451,0.0161847800899444,7.0,4.06201920231798,0.6,0.8,135.73362505810186,25.361339133186764,0.925789081268821,5,0.1397365387436916,-0.302742161507836,-0.2152773404399871,0.0874648210678489,True,0.4353071086545218,weak_or_mixed,-0.0623884737160638,2.96506282873451,5,True,True,False
