experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
within_univariate,slope_first_quarter,100,matr,matr,789,,0,,239.370636497357,36.269909457657675,-0.002113906750213612
within_univariate,slope_last_quarter,100,matr,matr,789,,0,,192.02278777625594,31.195195179530266,0.3126105188575813
within_univariate,autocorr_lag1,100,matr,matr,789,,0,,239.20915860354154,36.258299501167656,-0.0002921360026180153
within_univariate,knee_cycle,100,matr,matr,789,,0,,222.39516886755118,34.258578637801726,0.06068063010508318
within_univariate,n_capacity_jumps,100,matr,matr,789,,0,,239.19555790862424,36.25671510278868,-0.0001026416054124013
within_univariate,accel_mean,100,matr,matr,789,,0,,169.38499826012523,27.09526972389582,0.464091242512645
within_univariate,accel_std,100,matr,matr,789,,0,,239.19794693710938,36.25713810665114,-0.0001074314115556696
within_univariate,accel_max_abs,100,matr,matr,789,,0,,239.19769934520863,36.257111472275035,-0.00010494190359588984
within_univariate,linearity_r2,100,matr,matr,789,,0,,213.9591989211509,33.23076280340281,0.12849484972747804
within_univariate,kurtosis_Qdis,100,matr,matr,789,,0,,241.05040669854935,36.556475813938754,-0.015324987758592368
within_univariate,fft_top3_energy_ratio,100,matr,matr,789,,0,,250.9257629592847,37.916189304837786,-0.1509339968801373
within_univariate,spectral_entropy,100,matr,matr,789,,0,,254.90479339554494,38.42189057783821,-0.1901152167207485
within_univariate,sample_entropy,100,matr,matr,789,,0,,233.00222231754884,35.22688355509209,-0.001965147767917008
within_univariate,pos_neg_diff_ratio,100,matr,matr,789,,0,,239.19123497649292,36.25602534714519,-6.850006791569996e-05
within_univariate,mad_Qdis,100,matr,matr,789,,0,,195.82158460407882,33.51430891678389,0.3008259869375919
within_univariate,Qdis_N,100,matr,matr,1011,,0,,231.46117982118608,30.38335180062236,0.2516535907344637
within_univariate,delta_Qdis,100,matr,matr,1011,,0,,302.5777006352317,43.54652030299167,0.001337891839636507
within_univariate,retention_ratio,100,matr,matr,1011,,0,,302.57901130045053,43.5466443247898,0.0013293062803195754
within_univariate,slope_linear,100,matr,matr,1011,,0,,302.84600058101154,43.57246290582923,-0.0003876851972222095
within_univariate,variance_Qdis,100,matr,matr,1011,,0,,303.24979448565847,43.61182606823979,-0.0029997353782178493
within_univariate,range_Qdis,100,matr,matr,1011,,0,,303.253505384156,43.612227848200305,-0.003028897320407342
within_univariate,max_drop,100,matr,matr,1011,,0,,303.2503790892571,43.61194975690573,-0.0030086303390224334
within_univariate,std_diff,100,matr,matr,1011,,0,,303.2504868368789,43.61196071241286,-0.0030087741728404005
within_univariate,skewness_Qdis,100,matr,matr,1011,,0,,303.3125336357601,43.619285641110004,-0.0033460606938233717
within_univariate,slope_ratio,100,matr,matr,1011,,0,,299.8507370711078,43.13368457788177,0.009143537144523872
within_univariate,Qdis_cycle10,100,matr,matr,1011,,0,,314.6523870721504,44.7307787030818,-0.06711537302611825
within_univariate,mean_diff,100,matr,matr,1011,,0,,302.57770063523185,43.546520302991695,0.0013378918396356188
within_univariate,poly2_a,100,matr,matr,1011,,0,,303.28062282486303,43.614888640578975,-0.003188204546313411
within_univariate,poly2_b,100,matr,matr,1011,,0,,306.27724447200546,43.91190764447285,-0.020625696964080564
within_univariate,poly2_c,100,matr,matr,1011,,0,,301.7551183955291,43.47611173274884,0.008991245132888182
within_univariate,exp_decay_k,100,matr,matr,1011,,0,,302.82520068629276,43.570607992397406,-0.00024167388755191865
within_univariate,cycle_to_99pct,100,matr,matr,1011,,0,,254.87437250702905,36.62021692274021,0.19045410236636084
within_univariate,cycle_to_98pct,100,matr,matr,1011,,0,,303.25,43.61184932919214,-0.0030017055828273076
within_univariate,cycle_to_95pct,100,matr,matr,1011,,0,,303.25,43.61184932919214,-0.0030017055828273076
within_univariate,slope_first_quarter,100,matr,matr,1011,,0,,417.5918229939395,50.10625409777395,-1.578275117083491
within_univariate,slope_last_quarter,100,matr,matr,1011,,0,,219.4381533612182,34.479292046320445,0.3262595274131922
within_univariate,autocorr_lag1,100,matr,matr,1011,,0,,303.2508461854568,43.6117911919587,-0.002987298649937964
within_univariate,knee_cycle,100,matr,matr,1011,,0,,282.9960444799322,41.244656263993704,0.11257947672375868
within_univariate,n_capacity_jumps,100,matr,matr,1011,,0,,316.197666025279,44.81889348248234,-0.10597899606193395
within_univariate,accel_mean,100,matr,matr,1011,,0,,263.6898563093963,37.62742008867702,0.19220409627609691
within_univariate,accel_std,100,matr,matr,1011,,0,,303.25042293673357,43.61195389756475,-0.0030083816870276614
within_univariate,accel_max_abs,100,matr,matr,1011,,0,,303.2502094802904,43.61193178102681,-0.0030071843051608926
within_univariate,linearity_r2,100,matr,matr,1011,,0,,244.85980894804283,35.66229809088942,0.21892257328529263
within_univariate,kurtosis_Qdis,100,matr,matr,1011,,0,,301.9110569111312,43.474106052623526,0.004577388032251606
within_univariate,fft_top3_energy_ratio,100,matr,matr,1011,,0,,282.55499619362473,41.03059243936503,0.0826197923230898
within_univariate,spectral_entropy,100,matr,matr,1011,,0,,289.15960171665654,41.867385828395484,0.055084052059409916
within_univariate,sample_entropy,100,matr,matr,1011,,0,,303.6328154964516,43.44215866859552,-0.02174864788821207
within_univariate,pos_neg_diff_ratio,100,matr,matr,1011,,0,,308.64057664713357,44.21903477737761,-0.03112941732848884
within_univariate,mad_Qdis,100,matr,matr,1011,,0,,225.68692462255666,34.74014432458486,0.28905557083683653
within_univariate,Qdis_N,100,hust,hust,42,,0,,234.58480280469976,16.351415770060054,-0.11467111996420254
within_univariate,delta_Qdis,100,hust,hust,42,,0,,235.22729459265233,16.398012218345283,-0.12549425850544682
within_univariate,retention_ratio,100,hust,hust,42,,0,,235.2286383551466,16.398073091385143,-0.12545396457834035
within_univariate,slope_linear,100,hust,hust,42,,0,,232.22730365422504,16.191108357092833,-0.09821769839483019
within_univariate,variance_Qdis,100,hust,hust,42,,0,,217.00715329230812,15.171504031072022,-0.004181678242007658
within_univariate,range_Qdis,100,hust,hust,42,,0,,220.29492900156242,15.39285004454156,-0.04479784502472706
within_univariate,max_drop,100,hust,hust,42,,0,,215.87986828815187,15.095572671145494,-0.0006336473634354078
within_univariate,std_diff,100,hust,hust,42,,0,,252.64471956404805,17.44966100776222,-0.0622711439500907
within_univariate,skewness_Qdis,100,hust,hust,42,,0,,234.820444426031,16.36591376784158,-0.12727395296993183
within_univariate,slope_ratio,100,hust,hust,42,,0,,238.1972377512362,16.592994855894336,-0.12237495270720777
within_univariate,Qdis_cycle10,100,hust,hust,42,,0,,244.62532079038814,17.012149501682817,-0.17203914435351164
