source,target,direction,feature,n_cycles,abs_mean_shift_z,abs_mean_shift_z_raw_table,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,within_R2_mean,within_MAE_mean,raw_cross_R2_mean,raw_cross_MAE_mean,adapted_cross_R2_mean,adapted_cross_MAE_mean,adapted_cross_SMAPE_mean,adapted_residual_shift_mean,n_within_runs,n_cross_raw_runs,n_cross_adapted_runs,transfer_stability_score,stability_class
luh,hust,luh_to_hust,accel_mean,100,1.0928323901722432,1.427960352516657,-0.426433431506483,-0.17009418275633392,0.2563392487501491,True,-0.13498936384525712,310.1909097103805,-15.707385148522922,1086.345468365249,-0.07592768568933214,232.31600084706636,15.863420441314593,1094.2020765100801,5,5,100,0.20790551709908897,weak_or_mixed
luh,hust,luh_to_hust,linearity_r2,100,1.4079857548818642,1.4079857548818642,-0.2241748054688204,-0.3973815486017567,0.17320674313293627,True,-0.11996747034795732,314.5918338913867,-18894.978749051334,21947.64876305721,-8414.10649690332,13389.360204767401,186.52011636730822,-21051.42873232021,5,5,100,0.20219876520125224,weak_or_mixed
luh,hust,luh_to_hust,skewness_Qdis,100,1.3173803497550414,1.3173803497550414,0.2619814745381097,0.019506937187820678,0.24247453735028904,True,-0.06228983627993436,313.859941693527,-21.962439953805113,1262.62089525891,-0.8746591736479501,311.6691077530497,21.30446861730723,1273.277815225296,5,5,100,0.18115567886159933,weak_or_mixed
luh,hust,luh_to_hust,max_drop,100,0.22768091677076838,1.3545045240115108,-0.8477127821950178,0.048110101150555036,0.8958228833455728,False,0.6500501650990896,151.69000254179167,-16.84308776281995,1113.8127186321547,-0.4154387187723437,260.5048023422454,17.732643010656535,1114.9206212051263,5,5,100,0.16798658591068794,relationship_unstable
luh,hust,luh_to_hust,range_Qdis,100,1.6530834811113286,1.870430470381742,-0.9238853607742535,0.13098829452603306,1.0548736553002867,False,0.6329420321264696,158.70450740804088,-2.4832714869039676,438.399620284767,-0.08376609949537274,235.19209120188046,16.05289839598022,426.1527257810644,5,5,100,-0.11502049004022968,relationship_unstable
luh,hust,luh_to_hust,sample_entropy,100,3.612623431374343,3.612623431374343,0.03512605163598809,0.24554554357714975,0.21041949194116166,True,-0.14680320088721435,312.3179083197118,-4550.453414275037,2720.1436965262246,-3606.611315615953,1556.593258812303,47.07321703500526,-1307.0591039056876,5,5,100,-0.14710326067673227,scale_shift_fragile
luh,hust,luh_to_hust,spectral_entropy,100,0.05379111040212551,0.05379111040212551,0.23415548396379138,-0.07107413030629811,0.3052296142700895,False,-0.1509146494862534,315.0216216305897,-13.932770065965324,998.9511211581821,-0.7750062151478082,311.9276293382026,21.735827221603518,996.4006026389584,5,5,100,-0.16068347369536357,relationship_unstable
luh,hust,luh_to_hust,fft_top3_energy_ratio,100,0.42305631919654024,0.42305631919654024,-0.26260117340478384,0.03806744615628617,0.30066861956107,False,-0.13543755200329186,307.7701968740674,-10.446648630885452,822.7336725012401,-1.7701250252279908,382.1321887663894,26.594998181211867,827.5192752172691,5,5,100,-0.21379275766001604,relationship_unstable
luh,hust,luh_to_hust,std_diff,100,1.1864726033956001,0.8682790413952505,-0.6855985510326347,0.26113531952375035,0.946733870556385,False,0.4347408170532404,202.19217554959457,-21.12371158249012,1250.9836800506007,-0.4018071939323795,258.1033756799749,17.506140989143947,1259.8680646779983,5,5,100,-0.2165970087342921,relationship_unstable
luh,hust,luh_to_hust,slope_last_quarter,100,1.1267126210088756,1.2422369705484009,0.886552282708764,-0.03947394364893901,0.9260262263577029,False,0.36043257302819764,227.1924441676073,-8.260954143615162,788.0065213045015,-0.06539850453865131,233.0451403062543,15.90205579474583,783.7031851952812,5,5,100,-0.27158743330198515,relationship_unstable
luh,hust,luh_to_hust,poly2_a,100,0.30526545147985595,133.89930619196073,-0.4442434761706538,0.14649920145435408,0.5907426776250079,False,0.013489262180741113,281.98296248260675,-14.113472783655116,1014.3987686450921,-0.5454865863806868,280.72116780139385,19.136845602478115,1016.4709990742101,5,5,100,-0.3276718943537412,relationship_unstable
luh,hust,luh_to_hust,cycle_to_99pct,100,7.842963833545274,7.842963833545274,0.8201441323740399,0.10240870529870201,0.7177354270753379,True,0.2534854521516292,213.2863796906551,-1845704967010.8215,281775753.9348798,-353647219774.6602,112499154.67534605,199.86174423699455,-286985775.11748743,5,5,100,-0.35538226138603973,scale_shift_fragile
