experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,12.0,20,734.8209769443001,240.05534935970152,16.34084578931058,-0.038757529751699105
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,13.0,20,767.671005141493,227.4033763408464,15.443716041403682,-0.0017194555744934892
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,14.0,20,749.1709741907011,208.3805973248074,14.142468775038278,-0.021543278616137584
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,15.0,20,780.9208847896792,213.18675174618372,14.49386114009771,-0.0006637352987137746
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,16.0,20,770.9209753727799,241.34660733556285,16.546384530524254,-0.0005882814808484405
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,17.0,20,825.2212568862476,225.9607049238823,15.643330560257596,-0.06053043648223744
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,18.0,20,726.2214714952655,226.05670416268364,15.183414786259371,-0.06501598752925708
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,19.0,20,726.9708218404544,215.62284504249666,14.54374583933595,-0.06901158778392524
within_univariate,max_drop,100,matr,matr,789,,0,,239.19760649108343,36.2570959077598,-0.00010506171947977094
cross_univariate_raw,max_drop,100,matr,hust,789,,0,,776.0361439236392,68.35069147654677,-8.015413825843892
cross_univariate_residual_mean,max_drop,100,matr,hust,789,0.0,20,801.277623247591,216.12631252119883,14.908361471866014,-0.016602176976972194
cross_univariate_residual_mean,max_drop,100,matr,hust,789,1.0,20,835.3276313463175,205.0833161271576,14.007217151003083,-0.11595457436781631
cross_univariate_residual_mean,max_drop,100,matr,hust,789,2.0,20,796.177653327926,229.72455391440803,15.75866116507262,-0.009608728804459288
cross_univariate_residual_mean,max_drop,100,matr,hust,789,3.0,20,757.527741769498,226.41839788808787,15.34520428540559,-0.008127570614763213
cross_univariate_residual_mean,max_drop,100,matr,hust,789,4.0,20,742.8277383538865,241.23770505263536,16.4331543192157,-0.0244496047837508
