n_cycles,dataset,model,feature,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,mean_shap_log_cycles_mean,relative_importance_mean,relative_importance_std,rank_mean,rank_std,n_seed_runs,MAE_mean,SMAPE_mean,R2_mean,top5_rate,top10_rate,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,adapted_cross_R2_mean,transfer_stability_score,stability_class
100,matr,catboost,pos_neg_diff_ratio,0.009843066364794218,0.0041961956280709145,0.0017961604203979478,0.019148815574462567,0.007293908151451475,17.8,5.215361924162119,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.3989502921015491,0.3989502921015491,-0.0388839695506973,0.109797044929618,0.1486810144803154,False,-0.0637344480336262,-0.0754880028119838,-0.13418305105539,relationship_unstable
100,matr,catboost,spectral_entropy,0.009783201334078518,0.005446750486674928,-0.0005424451943960563,0.01979572584168633,0.011437495310876133,19.8,9.523654760647302,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.4,0.3301745196525271,0.3301745196525271,0.1547898567835657,-0.0710741303062981,0.2258639870898638,False,-0.0562456401577908,-0.1336489332345817,-0.162458171492811,relationship_unstable
100,matr,catboost,std_diff,0.009719153472408754,0.004474270557480522,0.0011500901322519835,0.018921898781102335,0.008031172071334372,19.0,6.892024376045111,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.1245365149904919,0.1278739411245449,-0.2603142924390396,0.288121668611753,0.5484359610507925,False,-0.0447840235880984,-57014822555.39878,-0.29289845777397,relationship_unstable
100,matr,catboost,slope_linear,0.0092834925431797,0.0062205890246842255,0.0008799706706249105,0.018096703898331665,0.01132265045967511,19.2,7.791020472312981,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.2,0.2538728132062484,0.1948082261328058,0.107120495539964,0.0903576052756599,0.0167628902643041,True,-0.0201450173454067,-0.0527386520955988,0.4535376328869106,weak_or_mixed
100,matr,catboost,Qdis_N,0.008673387861814782,0.0035531199551371634,0.0014250628529308737,0.016877538550108328,0.0068637161037155975,19.6,6.985699678629193,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,8.208490470643092,0.0943727443826826,-0.0372936265148641,0.615506963490366,0.6528005900052303,False,0.0619496487769271,-0.072359703846407,-1.014450646225688,scale_shift_fragile
100,matr,catboost,skewness_Qdis,0.007189041384948136,0.002312263393072124,0.000991857325765374,0.014082013786794929,0.003989504464634701,21.4,5.856620185738529,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.579972294177194,0.579972294177194,-0.0447539663932981,0.0195069371878206,0.0642609035811188,False,-0.0586728985376653,-0.1023297735881547,-0.1191262959171385,relationship_unstable
100,matr,catboost,mean_diff,0.00717996023226167,0.004228463202439743,-0.0009932557794008,0.013859309111689524,0.007615883613883848,23.4,6.8044103344816005,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.2111489401020502,0.1952441402899317,-0.0203378839221558,0.0556552372326366,0.0759931211547924,False,-0.0100867019764585,-0.1744515039631385,-0.0696689015927037,relationship_unstable
100,matr,catboost,exp_decay_k,0.007109003053624217,0.00366836977354259,-0.0006661755592315915,0.013852804652611263,0.006410511375007125,23.4,5.8991524815010505,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.1943351001074411,0.1943351001074411,-0.105706123733393,-0.1216160261871407,0.0159099024537477,True,-0.02047545537466,-0.0382180492470142,0.46289478375701,weak_or_mixed
100,matr,catboost,autocorr_lag1,0.006952840952076716,0.0029405783984570444,0.0005068733891769621,0.01414560235573229,0.007018342014265849,21.6,7.569676347110225,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.6862570928621154,0.6862570928621154,0.072200046963893,0.1545175516461132,0.0823175046822202,True,-0.0434690848753554,-0.0970593220948279,0.3559026837295725,weak_or_mixed
100,matr,catboost,accel_std,0.006944426819537502,0.004096799777099086,-0.00016865573561671934,0.013734061307429648,0.0077410714537910685,23.0,7.483314773547883,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.1253979196265854,0.1282644140486808,-0.178999094366,0.2858607567544045,0.4648598511204045,False,-0.0362943980266248,-57347387984.23186,-0.25123961350419,relationship_unstable
100,matr,catboost,poly2_b,0.005981475680379271,0.0025558892969610373,0.0019366597207756172,0.011797352480346999,0.00531155195601918,25.2,4.324349662087931,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.1306639983656922,0.0987570124918787,-0.2221542056736092,0.0275252873795798,0.249679493053189,False,-0.0617002531829204,-0.0797138246107914,-0.1444393462814483,relationship_unstable
