dataset,model,n_cycles,seed,feature,mean_abs_shap_log_cycles,mean_shap_log_cycles,relative_importance,rank,train_cells,test_cells,MAE,SMAPE,R2,attribution_MAE,attribution_SMAPE,attribution_R2,metric_source
matr,catboost,100,123,n_capacity_jumps,0.0003521812142030404,-1.8422331640352784e-05,0.0008229882185714398,33,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,accel_mean,0.02538128874222243,0.0006738763501375995,0.059311799620766506,5,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,accel_std,0.0032871119621250946,0.00102807302715474,0.0076814273699293955,27,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,accel_max_abs,0.009472100035477257,0.0024783439198248648,0.02213470344228429,16,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,linearity_r2,0.006286712462528441,0.004971970543177375,0.014690988847645595,21,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,kurtosis_Qdis,0.011260649488855629,0.00586961996233429,0.02631424246679959,13,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,fft_top3_energy_ratio,0.011551602946819074,0.0011708639515876811,0.026994151724874002,12,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,spectral_entropy,0.007699534586463568,0.0011493926936412206,0.01799251634554713,19,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,sample_entropy,0.01801482458945759,-0.0015914294814950193,0.042097612816472244,7,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,pos_neg_diff_ratio,0.012391423872732238,-0.0006837333386662009,0.02895667187036314,11,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,mad_Qdis,0.013178888682744153,0.004299080002417332,0.03079684458555451,9,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,456,Qdis_N,0.006502622217307736,0.003742826716909886,0.01396146329721123,18,89,20,211.08461014688191,27.358650659585333,0.4182780325996459,211.08461014688191,27.358650659585333,0.4182780325996459,benchmark_evaluate_split
matr,catboost,100,456,delta_Qdis,0.005757633458802068,0.0023061618278143155,0.012361934236299832,21,89,20,211.08461014688191,27.358650659585333,0.4182780325996459,211.08461014688191,27.358650659585333,0.4182780325996459,benchmark_evaluate_split
matr,catboost,100,456,retention_ratio,0.005490543994073167,-0.0011754760971635402,0.011788479461553862,22,89,20,211.08461014688191,27.358650659585333,0.4182780325996459,211.08461014688191,27.358650659585333,0.4182780325996459,benchmark_evaluate_split
matr,catboost,100,456,slope_linear,0.004037250772861537,0.0020494468872022174,0.008668184403657556,28,89,20,211.08461014688191,27.358650659585333,0.4182780325996459,211.08461014688191,27.358650659585333,0.4182780325996459,benchmark_evaluate_split
matr,catboost,100,456,variance_Qdis,0.025333873484193935,0.004067459741019535,0.05439312526634941,5,89,20,211.08461014688191,27.358650659585333,0.4182780325996459,211.08461014688191,27.358650659585333,0.4182780325996459,benchmark_evaluate_split
