dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_pooled,MAE_ci95_lower,MAE_ci95_upper,SMAPE_pooled,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_pooled,R2_ci95_lower,R2_ci95_upper,ci95_method,pooled_test_rows,pooled_distinct_test_cells
sandia,sandia_to_sandia,catboost,50,205.84215173897564,91.8216386178759,31.25506258794624,8.54604374003672,0.7973696006966774,0.19778003344100628,5,46.46648934563575,466.7557175895066,17.0741631797843,48.03961333738913,-0.7087015384109526,0.8811783554591417,205.84215173897564,103.89739765219491,338.3529524203939,31.25506258794625,23.958567181633764,39.369168849342465,0.80119066927081,0.6294147682484473,0.9229734943927081,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,gaussian_process,50,189.16206142551326,87.95402100974137,36.951910543206694,5.985153048079387,0.8672439668442928,0.16202149776323446,5,57.68669854795421,373.6071961264734,17.73141246534432,61.84809616150095,-1.8061744661832928,0.9113148600451062,189.16206142551323,105.30226066927375,296.5203208055727,36.95191054320669,27.40826517475988,47.79492203684255,0.8605847318824055,0.701287519907977,0.9628110039837295,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,stacking,50,177.68392702898166,85.32660353586343,32.63848506763819,9.397596944962062,0.8687762536649316,0.14849526095311083,5,50.693241131142756,366.8052865806904,16.875232280957977,51.446834042078436,-1.2036871133785283,0.9201334879843925,177.68392702898163,92.082707515984,283.9028864143322,32.63848506763819,24.72569480820818,41.25996193363224,0.8657965247310131,0.7282078228852924,0.9619801240832278,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,elastic_net,100,193.1817377395288,62.988755851861356,33.47785426297058,6.6361206506915735,0.8719083320294084,0.08647996375228961,5,48.963215732323135,392.8385286545782,15.247898739199746,59.29068202801172,-5.520260218902542,0.9583798222639869,193.18173773952884,107.57950942303825,289.3065446812697,33.47785426297059,23.234512210984516,44.90396362957186,0.8666403818154236,0.6580424918363437,0.9376534987028416,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,pls,100,216.3840078127776,88.62636853674586,33.76492423519372,8.133784959873523,0.8092143095061891,0.15114190682312034,5,44.48543621183579,452.9136006203588,14.127082563316637,62.13633473554249,-11.845248533196662,0.9644116490695689,216.38400781277755,115.34061598743952,332.5531746188446,33.76492423519372,22.888772472389814,46.358172357763166,0.8072808354347996,0.4397692182671491,0.9266662389319789,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,random_forest,100,136.9370473055819,81.20220645923882,20.40793939624773,6.26652493997375,0.9119617806000206,0.11419687978980234,5,27.10112358985745,276.74464656774705,9.01121718138503,35.42109821159086,-0.17087635117239955,0.9587293544988575,136.9370473055819,65.70261941390186,217.24296434676413,20.407939396247727,14.350853890093209,27.90528802069464,0.9100167757352609,0.7709702068399453,0.9741952911587567,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,xgboost,100,120.76723130585842,51.57657755578295,23.435704076950458,6.399808827545786,0.9399721325837364,0.06494874321226574,5,36.449231489720255,244.2731547762712,11.197919693131377,37.76574056493667,-0.5342698909633316,0.9800352029938667,120.76723130585842,67.68410265528057,183.3456857915695,23.435704076950454,17.00577739139333,30.16819851661075,0.9370893887785967,0.8040241390209726,0.987398161836847,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,catboost,100,185.1543453202707,124.50960309039311,24.691467355419327,8.164605982663243,0.7972207735695052,0.2795116474479716,5,33.104125333384516,430.0813172311282,11.967420633267071,42.30359474904374,-0.2451875263942623,0.9354680435456375,185.15434532027072,75.5852954686508,315.4901429234805,24.691467355419324,17.6632811361256,32.937748193826465,0.7847045216877694,0.5238783315948603,0.9580781367176259,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,gaussian_process,100,191.0948277863302,65.46371502552282,34.04431115843807,6.176656227952666,0.881828123427771,0.08550526317630026,5,52.55356541036495,375.9177548359213,15.982310307401235,58.48665856851393,-2.2328354546726334,0.9406695414869553,191.09482778633023,108.64754249043361,278.60479501703105,34.04431115843807,24.7558812874168,43.87152620055209,0.8745273013333795,0.7418110935174974,0.9302048327754454,pooled_out_of_split_predictions,40,31
sandia,sandia_to_sandia,stacking,100,166.1982722815696,94.32050468234418,23.933315801901834,7.431614157780964,0.8577344743143005,0.16151380502325954,5,33.582819397456305,329.39648060165445,11.820306671969817,38.96454483524201,-0.5589078006216573,0.9119570002705639,166.1982722815696,80.56908066045634,258.9652800565749,23.933315801901834,17.736390056589862,31.4911790171607,0.8699490870753095,0.6750110961004703,0.9701207486117425,pooled_out_of_split_predictions,40,31
